,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
17,09SS20090203, P15,2.0,1.0,7.0,12032.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,2506.9,1.922,34.732,2.0,34.7365,2.0,189.7,2.0,192,2.0,91.63,2.0,31.5,2.0,2.09,2.0,-999,9.0,-999,9.0,2254.3,2.0,2357.3,2.0,1.7422
18,09SS20090203, P15,2.0,1.0,6.0,12007.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,3004.4,1.585,34.733,2.0,34.7366,2.0,196.2,2.0,200.2,2.0,101.43,2.0,31.32,2.0,2.11,2.0,-999,9.0,-999,9.0,2257.5,2.0,2362.2,6.0,1.3656
19,09SS20090203, P15,2.0,1.0,5.0,12055.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,3504,1.257,34.722,2.0,34.7251,2.0,202.2,2.0,203.9,2.0,111.59,2.0,31.92,2.0,2.14,2.0,-999,9.0,-999,9.0,2259.9,2.0,2365.9,2.0,0.9964
20,09SS20090203, P15,2.0,1.0,4.0,12009.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,4002.3,1.043,34.712,2.0,34.7151,2.0,207.3,2.0,207,2.0,118.67,2.0,32.21,2.0,2.17,2.0,-999,9.0,-999,9.0,2262.8,2.0,2363.9,2.0,0.7366
21,09SS20090203, P15,2.0,1.0,3.0,12033.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,4504.7,0.966,34.707,2.0,34.7105,2.0,210.7,2.0,208.5,2.0,122.6,2.0,32.39,2.0,2.17,2.0,-999,9.0,-999,9.0,2263.8,2.0,2367.6,2.0,0.607
22,09SS20090203, P15,2.0,1.0,2.0,12006.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,4997.1,0.981,34.705,2.0,34.7086,2.0,212.9,2.0,211.7,2.0,124.04,2.0,32.47,2.0,2.19,2.0,-999,9.0,-999,9.0,2264.1,2.0,2371.2,2.0,0.5646
23,09SS20090203, P15,2.0,1.0,1.0,12045.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,5404.6,1.021,34.704,2.0,34.7076,2.0,214.8,2.0,210.6,2.0,124.24,2.0,32.37,2.0,2.18,2.0,-999,9.0,-999,9.0,2264.8,6.0,2365.6,2.0,0.5537
24,09SS20090203, P15,3.0,1.0,24.0,12015.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,3.5,11.432,34.218,2.0,34.2209,2.0,276.5,2.0,272.7,2.0,0.86,2.0,10.97,2.0,0.83,2.0,3.459,6.0,1.971,6.0,2074.6,2.0,2285.1,2.0,11.4316
25,09SS20090203, P15,3.0,1.0,23.0,12046.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,64.7,9.786,34.171,2.0,34.1755,2.0,290,2.0,286.3,2.0,1.23,2.0,13.73,2.0,1.01,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,9.7787
26,09SS20090203, P15,3.0,1.0,22.0,12020.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,107,7.535,34.215,2.0,34.2182,2.0,283.7,2.0,281.4,2.0,3.76,2.0,18,2.0,1.28,2.0,4.309,2.0,2.359,2.0,-999,9.0,-999,9.0,7.5247
27,09SS20090203, P15,3.0,1.0,21.0,12003.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,166.4,7.308,34.287,2.0,34.2926,2.0,277,2.0,274.8,2.0,4.64,2.0,18.72,2.0,1.31,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,7.2922
28,09SS20090203, P15,3.0,1.0,20.0,12051.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,215.2,7.224,34.308,2.0,34.3106,2.0,274.2,2.0,272.1,2.0,5.13,2.0,19.21,2.0,1.33,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,7.2037
29,09SS20090203, P15,3.0,1.0,19.0,12010.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,265.4,7.041,34.303,2.0,34.3053,2.0,271.8,2.0,270.9,2.0,5.83,2.0,19.98,2.0,1.39,2.0,4.244,2.0,2.227,2.0,-999,9.0,-999,9.0,7.0162
30,09SS20090203, P15,3.0,1.0,18.0,12018.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,324,7.012,34.343,2.0,34.3449,2.0,263,2.0,261.2,2.0,7.15,2.0,20.73,2.0,1.43,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,6.9817
31,09SS20090203, P15,3.0,1.0,17.0,12024.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,430.2,6.604,34.352,2.0,34.3545,2.0,244.5,2.0,243.3,2.0,11.33,2.0,23.22,2.0,1.59,2.0,4.555,3.0,1.876,2.0,-999,9.0,-999,9.0,6.5647
32,09SS20090203, P15,3.0,1.0,16.0,12001.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,530.9,5.968,34.312,2.0,34.3149,2.0,238.5,2.0,237.3,2.0,14.89,2.0,25.25,2.0,1.72,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,5.9218
33,09SS20090203, P15,3.0,1.0,15.0,12025.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,629.8,5.35,34.295,2.0,34.2977,2.0,229.1,2.0,229.5,2.0,19.6,2.0,27.09,2.0,1.84,2.0,3.058,2.0,1.588,2.0,-999,9.0,-999,9.0,5.2977
34,09SS20090203, P15,3.0,1.0,14.0,12041.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,748.5,4.566,34.281,2.0,34.2834,2.0,222.5,2.0,221.7,2.0,26.19,2.0,29.4,2.0,1.98,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,4.5078
35,09SS20090203, P15,3.0,1.0,13.0,12012.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,965.2,3.589,34.331,2.0,34.3337,2.0,204.5,2.0,205,2.0,41.86,2.0,32.09,2.0,2.19,2.0,2.067,2.0,1.031,2.0,-999,9.0,-999,9.0,3.5196
36,09SS20090203, P15,3.0,1.0,12.0,12022.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,1162.9,3.093,34.407,2.0,34.4117,2.0,188.4,2.0,189.8,2.0,55.47,2.0,33.54,2.0,2.3,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,3.0119
37,09SS20090203, P15,3.0,1.0,11.0,12016.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,1363.2,2.782,34.499,2.0,34.5044,2.0,176,2.0,176,2.0,67.76,2.0,33.97,2.0,2.34,2.0,0.82,2.0,0.384,2.0,-999,9.0,-999,9.0,2.6879
38,09SS20090203, P15,3.0,1.0,10.0,12019.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,1598.8,2.535,34.59,2.0,34.5938,2.0,171.7,2.0,172.3,2.0,77.27,2.0,33.73,2.0,2.32,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,2.4245
39,09SS20090203, P15,3.0,1.0,9.0,12031.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,1779.6,2.418,34.636,2.0,34.6395,2.0,173.6,2.0,175.1,2.0,80.25,2.0,33.13,2.0,2.28,2.0,0.3,2.0,0.13,2.0,-999,9.0,-999,9.0,2.294
40,09SS20090203, P15,3.0,1.0,8.0,12021.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,2132,2.221,34.7,2.0,34.7039,2.0,182.1,2.0,182.3,2.0,83.37,2.0,31.81,2.0,2.18,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,2.0696
41,09SS20090203, P15,3.0,1.0,7.0,12032.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,2664.1,1.894,34.735,2.0,34.7368,2.0,192,2.0,192.5,2.0,92.32,2.0,31.03,2.0,2.12,2.0,0.113,2.0,0.052,2.0,-999,9.0,-999,9.0,1.7003
42,09SS20090203, P15,3.0,1.0,6.0,12007.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,3163.8,1.476,34.731,2.0,34.7329,2.0,199.2,2.0,200.1,2.0,105.13,2.0,31.26,2.0,2.14,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,1.2437
43,09SS20090203, P15,3.0,1.0,5.0,12055.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,3665.7,1.214,34.72,2.0,34.7235,2.0,203.9,2.0,203.5,2.0,113.87,2.0,31.56,2.0,2.16,2.0,0.117,2.0,0.046,2.0,-999,9.0,-999,9.0,0.938
44,09SS20090203, P15,3.0,1.0,4.0,12009.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,4164.5,0.983,34.709,2.0,34.7133,2.0,208.8,2.0,207.7,2.0,121.48,2.0,32.04,2.0,2.2,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,0.661
45,09SS20090203, P15,3.0,1.0,3.0,12033.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,4663.2,0.961,34.706,2.0,34.7088,2.0,210.9,2.0,208.4,2.0,123.7,2.0,32.04,2.0,2.21,2.0,0.155,2.0,0.073,2.0,-999,9.0,-999,9.0,0.5842
46,09SS20090203, P15,3.0,1.0,2.0,12006.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,5164.4,0.99,34.704,2.0,34.7064,2.0,212.4,2.0,209.1,2.0,124.87,2.0,32.24,2.0,2.2,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,0.5532
47,09SS20090203, P15,3.0,1.0,1.0,12045.0,2.0,20090207.0,52.0,-49.5323,-169.9871,5225,5347.6,1.011,34.704,2.0,34.7078,2.0,212.7,2.0,208.6,2.0,125.08,2.0,32.06,2.0,2.2,2.0,0.19,6.0,0.086,6.0,-999,9.0,-999,9.0,0.5511
48,09SS20090203, P15,4.0,1.0,24.0,12015.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,2.7,10.876,34.191,2.0,34.1905,2.0,279.6,2.0,277.3,2.0,0.74,2.0,11.98,2.0,0.88,2.0,3.588,2.0,2.02,6.0,2075.3,6.0,2277,6.0,10.8757
49,09SS20090203, P15,4.0,1.0,23.0,12046.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,22.4,10.874,34.19,2.0,34.19,2.0,279.7,2.0,276.6,2.0,0.74,2.0,11.94,2.0,0.89,2.0,-999,9.0,-999,9.0,2074,2.0,2276.4,2.0,10.8713
50,09SS20090203, P15,4.0,1.0,22.0,12020.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,80.3,8.41,34.225,2.0,34.2213,2.0,288.2,2.0,287.2,2.0,2.54,2.0,15.69,2.0,1.16,2.0,3.997,2.0,2.12,6.0,2103.5,2.0,2283.5,2.0,8.4018
51,09SS20090203, P15,4.0,1.0,21.0,12003.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,131,7.674,34.288,2.0,34.2888,2.0,278.1,2.0,276.4,2.0,3.95,2.0,18.39,2.0,1.26,2.0,4.107,4.0,2.284,2.0,2119,2.0,2273.2,2.0,7.6613
52,09SS20090203, P15,4.0,1.0,20.0,12051.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,180.3,7.434,34.302,2.0,34.302,2.0,277.4,2.0,275.4,2.0,4.35,2.0,18.98,2.0,1.29,2.0,-999,9.0,-999,9.0,2122.1,2.0,2278,2.0,7.4167
53,09SS20090203, P15,4.0,1.0,19.0,12010.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,221.3,7.3,34.303,2.0,34.3033,2.0,278.2,2.0,276.4,2.0,4.55,2.0,19,2.0,1.3,2.0,4.101,2.0,2.33,2.0,2122.1,2.0,2274.5,2.0,7.279
54,09SS20090203, P15,4.0,1.0,18.0,12018.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,264.7,7.223,34.304,2.0,34.3041,2.0,278.1,2.0,277.3,2.0,4.72,2.0,19.26,2.0,1.3,2.0,-999,9.0,-999,9.0,2122.9,2.0,2277,2.0,7.1979
