,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
10,  33LG20060321,  SR01,1.0,1.0,11.0,11.0,2.0,20060322.0,2055.0,-54.999,-64.951,  361,     50.0,   9.2600,  33.6680,2.0,-999.0000,9.0,    283.5,2.0,     0.76,2.0,    13.27,2.0,     0.23,2.0,     0.98,2.0,   2052.7,2.0,    347.4,2.0,     9.26,   -999.0,9.0,   -999.0,     1.73,2.0,   9.2546
11,  33LG20060321,  SR01,1.0,1.0,12.0,12.0,2.0,20060322.0,2056.0,-54.999,-64.951,  361,     25.5,   9.4200,  33.6060,2.0,  33.5570,2.0,    283.5,2.0,     0.94,2.0,    12.50,2.0,     0.23,2.0,     0.96,2.0,   2042.3,2.0,    343.2,2.0,     9.42,   -999.0,9.0,   -999.0,     1.56,2.0,   9.4172
12,  33LG20060321,  SR01,1.0,1.0,13.0,13.0,2.0,20060322.0,2057.0,-54.999,-64.951,  361,      9.8,   9.5800,  33.5520,2.0,  33.5550,2.0,    283.2,2.0,     0.92,2.0,    12.84,2.0,     0.23,2.0,     0.95,2.0,   2042.4,2.0,    347.2,2.0,     9.58,   -999.0,9.0,   -999.0,     1.75,2.0,   9.5789
13,  33LG20060321,  SR01,1.0,1.0,14.0,14.0,2.0,20060322.0,2058.0,-54.999,-64.951,  361,      5.2,   9.5900,  33.5480,2.0,  33.5540,2.0,    283.4,2.0,     1.00,2.0,    11.92,2.0,     0.23,2.0,     0.92,2.0,   2038.5,2.0,    344.4,2.0,     9.59,   -999.0,9.0,   -999.0,     1.73,2.0,   9.5894
14,  33LG20060321,  SR01,1.0,1.0,-999.0,15.0,2.0,20060322.0,2058.0,-54.999,-64.951,  361,      5.3,   9.5900,  33.5480,2.0,-999.0000,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   9.5894
15,  33LG20060321,  SR01,2.0,1.0,15.0,1.0,2.0,20060323.0,23.0,-55.357,-64.841, 2812,   2802.2,   1.9100,  34.7120,2.0,  34.7160,2.0,    184.6,2.0,    97.73,2.0,    33.74,2.0,     0.02,2.0,     2.18,2.0,   2264.4,2.0,    534.5,2.0,     1.91,   -999.0,9.0,   -999.0,     0.31,2.0,   1.7030
16,  33LG20060321,  SR01,2.0,1.0,16.0,2.0,2.0,20060323.0,29.0,-55.357,-64.841, 2812,   2537.5,   1.9100,  34.7120,2.0,  34.7480,2.0,    183.9,2.0,    97.01,2.0,    33.40,2.0,     0.03,2.0,     1.99,2.0,   2264.5,2.0,    533.1,2.0,     1.91,   -999.0,9.0,   -999.0,     0.36,2.0,   1.7275
17,  33LG20060321,  SR01,2.0,1.0,17.0,3.0,2.0,20060323.0,39.0,-55.357,-64.841, 2812,   2026.6,   2.1200,  34.6830,2.0,  34.6870,2.0,    175.5,2.0,    91.91,2.0,    33.60,2.0,     0.02,2.0,     2.02,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,     0.36,2.0,   1.9793
18,  33LG20060321,  SR01,2.0,1.0,18.0,4.0,2.0,20060323.0,50.0,-55.357,-64.841, 2812,   1518.8,   2.4700,  34.5780,2.0,  34.5860,2.0,    169.4,2.0,    65.30,2.0,    36.92,2.0,     0.07,2.0,     2.38,2.0,   2258.1,2.0,    597.0,2.0,     2.47,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.3667
19,  33LG20060321,  SR01,2.0,1.0,19.0,5.0,2.0,20060323.0,102.0,-55.357,-64.841, 2812,   1011.0,   3.1200,  34.3780,2.0,  34.3880,2.0,    196.7,2.0,    43.30,2.0,    33.15,2.0,     0.03,2.0,     2.20,2.0,   2221.1,2.0,    570.2,2.0,     3.12,   -999.0,9.0,   -999.0,     0.38,2.0,   3.0505
