,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,HELIER,DELHER,CH3CL,CH3CL_FLAG,CH3Br,CH3Br_FLAG,CH3I,CH3I_FLAG
10, 33RO200501,       A16S,1.0,1.0,13.0,13.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1498.2,   0.1031,  34.6734,2.0,-999.0000,9.0,    218.9,2.0,   219.8,2.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,   0.521,2.0,   0.263,2.0,   0.007,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,   0.116,2.0,    0.01,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.668,3.0, -999.00,9.0, 1498.20,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.0291,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
11, 33RO200501,       A16S,1.0,1.0,15.0,15.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1498.2,   0.1030,  34.6734,2.0,-999.0000,9.0,    219.0,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  2352.2,2.0,  -999.0,9.0,   20.00,7.5949,6.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,    0.58,2.0,  -156.4,2.0,     3.5,-999.000,9.0,-999.000,-999.000,9.0,   38.91,2.0, 1498.20,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.0290,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
12, 33RO200501,       A16S,1.0,1.0,11.0,11.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1798.8,   0.0120,  34.6700,2.0,  34.6693,2.0,    223.1,2.0,  -999.0,9.0,  122.00,2.0,   32.49,2.0,    0.00,2.0,    2.43,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2260.5,2.0,  -999.0,9.0,  1111.6,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0, 1798.80,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.0802,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
13, 33RO200501,       A16S,1.0,1.0,10.0,10.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1798.9,   0.0119,  34.6699,2.0,-999.0000,9.0,    223.1,2.0,   222.6,2.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,   0.615,2.0,   0.284,2.0,   0.005,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.634,3.0, -999.00,9.0, 1798.90,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.0802,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
14, 33RO200501,       A16S,1.0,1.0,12.0,12.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1799.0,   0.0119,  34.6700,2.0,  34.6684,2.0,    223.3,2.0,  -999.0,9.0,  122.80,2.0,   32.49,2.0,    0.00,2.0,    2.40,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  2351.5,2.0,  -999.0,9.0,   20.00,7.5977,6.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,    0.65,2.0,  -153.0,2.0,     3.1,-999.000,9.0,-999.000,-999.000,9.0,   39.84,2.0, 1799.00,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.0802,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
15, 33RO200501,       A16S,1.0,1.0,7.0,7.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  2198.5,  -0.0608,  34.6667,2.0,-999.0000,9.0,    227.0,2.0,   226.6,2.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,   0.675,2.0,   0.327,2.0,   0.020,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.746,3.0, -999.00,9.0, 2198.50,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.1796,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
16, 33RO200501,       A16S,1.0,1.0,9.0,9.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  2198.7,  -0.0606,  34.6667,2.0,  34.6658,2.0,    227.0,2.0,  -999.0,9.0,  122.73,2.0,   32.40,2.0,    0.00,2.0,    2.40,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  2351.9,2.0,  -999.0,9.0,   20.00,7.5959,6.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,    0.64,2.0,  -154.5,2.0,     3.0,-999.000,9.0,-999.000,-999.000,9.0,   39.19,2.0, 2198.70,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.1794,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
17, 33RO200501,       A16S,1.0,1.0,8.0,8.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  2198.8,  -0.0607,  34.6667,2.0,  34.6656,2.0,    227.0,2.0,  -999.0,9.0,  122.13,2.0,   32.38,2.0,    0.00,2.0,    2.41,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2259.2,2.0,  -999.0,9.0,  1106.0,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0, 2198.80,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.1796,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
18, 33RO200501,       A16S,1.0,1.0,5.0,5.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  2600.2,  -0.1046,  34.6642,2.0,-999.0000,9.0,    229.8,2.0,   229.3,2.0,  123.91,6.0,   32.34,6.0,    0.01,6.0,    2.37,4.0,   0.740,2.0,   0.366,2.0,   0.019,2.0,  2258.8,2.0,  -999.0,9.0,  1105.5,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.780,3.0, -999.00,9.0, 2600.20,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.2529,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
19, 33RO200501,       A16S,1.0,1.0,4.0,4.0,9.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  2600.5,  -0.1047,  34.6641,2.0,-999.0000,9.0,    230.0,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0, 2600.50,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -0.2530,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
