,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
25,  06AQ20071128,   A12,317.0,1.0,23.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.2,   0.1200,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0100
26,  06AQ20071128,   A12,317.0,1.0,22.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.2,   0.1210,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0110
27,  06AQ20071128,   A12,317.0,1.0,21.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1210,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0110
28,  06AQ20071128,   A12,317.0,1.0,20.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1220,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0120
29,  06AQ20071128,   A12,317.0,1.0,19.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1220,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0120
30,  06AQ20071128,   A12,317.0,1.0,18.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1220,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0120
31,  06AQ20071128,   A12,317.0,1.0,17.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1220,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0120
32,  06AQ20071128,   A12,317.0,1.0,16.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2037.1,   0.1210,  34.6620,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.0110
33,  06AQ20071128,   A12,317.0,1.0,15.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   2000.2,   0.1320,  34.6620,2.0,    222.0,2.0,    33.60,2.0,   2264.4,2.0,   2361.0,2.0,   0.0240
34,  06AQ20071128,   A12,317.0,1.0,14.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,   1499.9,   0.3250,  34.6680,2.0,    221.2,2.0,    33.90,2.0,   2262.6,2.0,   2362.6,2.0,   0.2480
35,  06AQ20071128,   A12,317.0,1.0,13.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    999.9,   0.5370,  34.6680,2.0,    217.4,2.0,    33.90,2.0,   2260.6,2.0,   2361.4,2.0,   0.4880
36,  06AQ20071128,   A12,317.0,1.0,12.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    500.6,  -1.7150,  34.3790,2.0,    313.7,2.0,    31.80,2.0,   2224.3,2.0,   2332.2,2.0,  -1.7270
37,  06AQ20071128,   A12,317.0,1.0,11.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    350.2,  -1.8260,  34.3520,2.0,    326.2,2.0,    31.70,2.0,   2219.4,2.0,   2332.7,2.0,  -1.8340
38,  06AQ20071128,   A12,317.0,1.0,10.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    249.9,  -1.8350,  34.3440,2.0,    326.5,2.0,    32.00,2.0,   2221.1,2.0,   2329.5,2.0,  -1.8400
39,  06AQ20071128,   A12,317.0,1.0,9.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    200.0,  -1.8410,  34.3340,2.0,    326.4,2.0,    32.00,2.0,   2217.4,2.0,   2331.7,2.0,  -1.8450
40,  06AQ20071128,   A12,317.0,1.0,8.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    159.9,  -1.8430,  34.3240,2.0,    327.9,2.0,    31.60,2.0,   2219.3,2.0,   2328.1,2.0,  -1.8460
41,  06AQ20071128,   A12,317.0,1.0,7.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,    119.8,  -1.8370,  34.3150,2.0,    331.5,2.0,    31.70,2.0,   2214.6,2.0,   2327.4,2.0,  -1.8390
42,  06AQ20071128,   A12,317.0,1.0,6.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     99.9,  -1.8150,  34.3020,2.0,    330.4,2.0,    31.50,2.0,   2214.4,2.0,   2325.0,2.0,  -1.8170
43,  06AQ20071128,   A12,317.0,1.0,5.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     79.9,  -1.8170,  34.2890,2.0,    331.6,2.0,    31.50,2.0,   2214.7,2.0,   2325.3,2.0,  -1.8190
44,  06AQ20071128,   A12,317.0,1.0,4.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     59.6,  -1.7920,  34.2750,2.0,    332.6,2.0,    24.30,4.0,   2214.3,2.0,   2324.6,2.0,  -1.7930
45,  06AQ20071128,   A12,317.0,1.0,3.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     39.9,  -1.7420,  34.2610,2.0,    333.5,2.0,    30.80,2.0,   2212.6,2.0,   2325.6,2.0,  -1.7430
46,  06AQ20071128,   A12,317.0,1.0,2.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     20.3,  -1.2670,  34.1870,2.0,    338.8,2.0,    38.50,4.0,   2206.0,2.0,   2320.8,2.0,  -1.2670
47,  06AQ20071128,   A12,317.0,1.0,1.0,2.0,-999.0,0.0,-70.066,-3.411, 2479,     10.1,  -1.3110,  34.1500,2.0,    341.3,2.0,    30.90,2.0,   2202.9,2.0,   2314.9,2.0,  -1.3110
48,  06AQ20071128,   A12,318.0,1.0,24.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,   1002.4,   0.5620,  34.6830,2.0,    207.3,2.0,    33.60,2.0,   2261.7,2.0,   2360.2,2.0,   0.5130
