,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
19,  29HE20130320,1.0,1.0,20.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      5.9,   8.7097,  33.7703,2.0,    285.7,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7091
20,  29HE20130320,1.0,1.0,21.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      5.7,   8.7069,  33.7705,2.0,    285.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7063
21,  29HE20130320,1.0,1.0,22.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      5.9,   8.7055,  33.7703,2.0,    285.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7049
22,  29HE20130320,1.0,1.0,23.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      6.2,   8.7039,  33.7701,2.0,    285.4,2.0,    285.4,2.0,     1.60,2.0,    12.36,2.0,     0.91,2.0,   2256.3,2.0,7.8313,2.0,    25.00,   8.7033
23,  29HE20130320,2.0,1.0,1.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    485.5,   3.8662,  34.1109,2.0,    275.9,2.0,    275.4,2.0,    17.39,2.0,    27.05,2.0,     1.80,2.0,   2277.2,2.0,7.6657,2.0,    25.00,   3.8322
24,  29HE20130320,2.0,1.0,2.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    486.5,   3.8652,  34.1111,2.0,    275.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2277.2,2.0,-999.0,9.0,  -999.00,   3.8311
25,  29HE20130320,2.0,1.0,3.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    405.8,   4.1799,  34.1025,2.0,    281.5,2.0,    281.0,2.0,    13.86,2.0,    25.88,2.0,     1.74,2.0,   2276.8,2.0,7.6805,2.0,    25.00,   4.1507
26,  29HE20130320,2.0,1.0,4.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    411.5,   4.1710,  34.1038,2.0,    287.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2276.9,2.0,-999.0,9.0,  -999.00,   4.1414
27,  29HE20130320,2.0,1.0,5.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    304.0,   4.3992,  34.0985,2.0,    287.2,2.0,    287.0,2.0,    11.33,2.0,    24.80,2.0,     1.64,2.0,   2274.7,2.0,7.6993,2.0,    25.00,   4.3771
28,  29HE20130320,2.0,1.0,6.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    304.1,   4.3959,  34.0984,2.0,    287.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2274.7,2.0,-999.0,9.0,  -999.00,   4.3738
