,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,CTDRAW,TRITER,THETA,FUCO,FUCO_FLAG_W,RHAM,RHAM_FLAG_W,ARABA,ARABA_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,DCNS,DCNS_FLAG_W,BRDU,BRDU_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,HELIER,DELHER
10,33RR20050106,       P16S,59.0,1.0,26.0,26.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   430.0,   7.2768,  34.4012,2.0,  34.4022,2.0,    256.2,2.0,   257.4,2.0,    5.93,2.0,   19.80,2.0,    0.01,2.0,    1.38,2.0,   3.764,2.0,   2.169,2.0,   0.295,2.0,  2132.2,2.0,  2280.4,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  44.8534,2.0,   430.0,-999.000,   7.2353,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0670,2.0,   0.0430,2.0,   0.0220,2.0,   0.0180,2.0,   0.0257,2.0,   0.0274,2.0,-999.0000, -999.00
11,33RR20050106,       P16S,59.0,1.0,25.0,25.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   480.2,   7.1360,  34.3881,2.0,  34.3880,2.0,    255.3,2.0,   256.4,2.0,    6.33,2.0,   20.40,2.0,    0.00,2.0,    1.43,2.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2133.7,2.0,  2279.9,2.0,-999.000,9.0,   1.7550,2.0,   -0.89,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,   7.278,4.0,   0.008,-999.0000,9.0,   480.2,-999.000,   7.0901,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.0000,    0.19
12,33RR20050106,       P16S,59.0,1.0,24.0,24.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   530.6,   6.9906,  34.3754,2.0,  34.3770,2.0,    254.5,2.0,   255.0,2.0,    6.95,2.0,   20.83,2.0,    0.01,2.0,    1.45,2.0,   3.617,2.0,   2.074,2.0,   0.269,2.0,  2134.2,2.0,  2279.6,2.0,-999.000,9.0,   1.7760,2.0,   -1.16,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,   7.404,4.0,   0.007,  44.2137,2.0,   530.6,-999.000,   6.9402,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0700,2.0,   0.0450,2.0,   0.0250,2.0,   0.0200,2.0,   0.0236,2.0,   0.0255,2.0,   0.0000,    0.19
13,33RR20050106,       P16S,59.0,1.0,23.0,23.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   651.4,   6.6035,  34.3463,2.0,  34.3476,2.0,    250.3,2.0,   250.2,2.0,    8.56,2.0,   22.29,2.0,    0.00,2.0,    1.55,2.0,   3.434,2.0,   1.908,2.0,   0.222,2.0,  2141.5,2.0,  2279.1,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  43.5122,2.0,   651.4,-999.000,   6.5431,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0680,2.0,   0.0430,2.0,   0.0220,2.0,   0.0180,2.0,   0.0259,2.0,   0.0277,2.0,-999.0000, -999.00
14,33RR20050106,       P16S,59.0,1.0,22.0,22.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   752.3,   6.2363,  34.3259,2.0,  34.3277,2.0,    239.8,2.0,   240.4,2.0,   11.20,2.0,   24.03,2.0,    0.00,2.0,    1.65,2.0,   2.939,2.0,   1.653,2.0,   0.176,2.0,  2149.7,2.0,  2281.3,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  43.1494,2.0,   752.3,-999.000,   6.1681,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0700,2.0,   0.0440,2.0,   0.0230,2.0,   0.0180,2.0,   0.0253,2.0,   0.0273,2.0,-999.0000, -999.00
15,33RR20050106,       P16S,59.0,1.0,21.0,21.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   852.8,   5.7721,  34.3222,2.0,  34.3232,2.0,    226.7,2.0,   225.2,2.0,   16.25,2.0,   26.25,2.0,    0.00,2.0,    1.81,2.0,   2.350,2.0,   1.318,2.0,   0.136,2.0,  2162.9,6.0,  2284.0,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  41.4481,2.0,   852.8,-999.000,   5.6972,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0770,2.0,   0.0490,2.0,   0.0250,2.0,   0.0190,2.0,   0.0243,2.0,   0.0262,2.0,-999.0000, -999.00
16,33RR20050106,       P16S,59.0,1.0,20.0,20.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   954.1,   5.2398,  34.3227,2.0,  34.3240,2.0,    215.5,2.0,   215.7,2.0,   21.94,2.0,   28.31,2.0,    0.00,2.0,    1.95,2.0,   1.891,2.0,   1.014,2.0,   0.111,2.0,  2175.6,2.0,  2289.6,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  40.8488,2.0,   954.1,-999.000,   5.1592,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0870,2.0,   0.0590,2.0,   0.0300,2.0,   0.0230,2.0,   0.0196,2.0,   0.0211,2.0,-999.0000, -999.00
17,33RR20050106,       P16S,59.0,1.0,19.0,19.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,  1054.8,   4.6822,  34.3277,2.0,  34.3275,2.0,    208.0,2.0,   207.4,2.0,   28.45,2.0,   29.95,2.0,    0.00,2.0,    2.06,2.0,   1.528,2.0,   0.822,2.0,   0.087,2.0,  2187.7,2.0,  2293.7,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  39.9001,2.0,  1054.8,-999.000,   4.5967,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0860,2.0,   0.0560,2.0,   0.0300,2.0,   0.0230,2.0,   0.0200,2.0,   0.0224,2.0,-999.0000, -999.00
18,33RR20050106,       P16S,59.0,1.0,18.0,18.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,  1155.8,   4.1486,  34.3388,2.0,  34.3391,2.0,    202.2,2.0,   202.7,2.0,   35.38,2.0,   31.20,2.0,    0.00,2.0,    2.16,2.0,   1.354,2.0,   0.701,2.0,   0.076,2.0,  2199.6,2.0,  2299.2,6.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,-999.0000,9.0,  1155.8,-999.000,   4.0588,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000, -999.00
19,33RR20050106,       P16S,59.0,1.0,17.0,17.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,  1256.7,   3.7192,  34.3605,2.0,  34.3610,2.0,    196.2,2.0,   197.2,2.0,   42.33,2.0,   32.19,2.0,    0.00,2.0,    2.24,2.0,   1.146,2.0,   0.583,2.0,   0.071,2.0,  2211.1,2.0,  2305.4,2.0,-999.000,9.0,   1.8100,2.0,    1.53,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,   7.849,2.0,   0.009,-999.0000,9.0,  1256.7,-999.000,   3.6247,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.0000,    0.19
