EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,FLUOR_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,MG/M^3,,UMOL/KG,,UMOL/KG,,UMOL/KG,,VOLTS,
09AR20080322,       TEST,       1,          1,         14,         14,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.1,   2.0932,  34.7413,2,  34.7427,2,  -999.00,5,  188.88,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.028,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         13,         13,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.6,   2.0921,  34.7415,2,  34.7429,2,  -999.00,5,  189.41,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.027,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         12,         12,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.2,   2.0915,  34.7415,2,  34.7429,2,  -999.00,5,  188.72,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.028,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         11,         11,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.5,   2.0925,  34.7414,2,  34.7425,2,  -999.00,5,  189.37,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.027,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,         10,         10,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.9,   2.0919,  34.7413,2,  34.7425,2,  -999.00,5,  189.59,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.026,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          9,          9,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.6,   2.0903,  34.7415,2,  34.7425,2,  -999.00,5,  192.37,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.029,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          8,          8,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.3,   2.0911,  34.7416,2,  34.7421,2,  -999.00,5,  189.50,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.028,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          7,          7,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.6,   2.0904,  34.7415,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.029,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          6,          6,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.2,   2.0901,  34.7414,2,  34.7418,2,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.029,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          5,          5,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.3,   2.0883,  34.7413,2,  34.7420,2,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.030,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
