BOTTLE,20141024CCHSIOCBG
# Original header:
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W
# 20090522OOCNOCBAK
# There are 12 instances of the bottle quality flag being set to 10. These correspond to cases where there was something anomalous about the bottle closure. The samples are believed to be good. In 9 of these cases the shallowest bottle was at 5 metres depth andappeared to have closed normally. The CFC sampler reported that a dribble leaked out of the bottom tap when it was pushed in even though the top vent was still closed. 
# The CTD PRS;  TMP;  SAL;  OXY; data are all calibrated and good .
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,UMOL/KG,
740H20090307,       A095,       3,          1,          1,          1,2,20090308,       1441,  -36.46875,  -53.30549,        981,   983.6,   3.7158,  34.1730,  34.1700,2,    246.7,   247.9,2,   24.35,2,    1.97,2,  2170.4,2,  2292.8,2,   3.6442,   30.59,2
740H20090307,       A095,       3,          1,          3,          3,2,20090308,       1441,  -36.46875,  -53.30549,        981,   883.9,   3.8134,  34.1600,  34.1598,2,    251.2,   253.4,2,   22.37,2,    1.93,2,  2165.1,2,  2291.1,2,   3.7491,   28.81,2
740H20090307,       A095,       3,          1,          5,          5,2,20090308,       1441,  -36.46875,  -53.30549,        981,   757.2,   4.4936,  34.2167,  34.2179,2,    242.0,   244.4,9,   18.74,2,    1.87,2,    2162,2,  2285.4,2,   4.4352,   27.80,2
740H20090307,       A095,       3,          1,          7,          7,2,20090308,       1441,  -36.46875,  -53.30549,        981,   630.6,   4.6453,  34.1847,  34.1868,2,    256.7,   256.5,9,   14.80,2,    1.77,2,  2151.2,2,  2282.5,2,   4.5965,   26.33,2
740H20090307,       A095,       3,          1,          9,          9,2,20090308,       1441,  -36.46875,  -53.30549,        981,   504.0,   4.9935,  34.1788,  34.1791,2,    261.3,   275.9,2,   11.74,2,    1.70,2,  -999.0,9,  -999.0,9,   4.9536,   25.27,2
740H20090307,       A095,       3,          1,         11,         11,2,20090308,       1441,  -36.46875,  -53.30549,        981,   377.6,   8.0830,  34.5547,  34.5406,2,    213.7,   214.6,2,   10.45,2,    1.48,2,  -999.0,9,  -999.0,9,   8.0443,   21.53,2
740H20090307,       A095,       3,          1,         13,         13,2,20090308,       1441,  -36.46875,  -53.30549,        981,   250.9,  11.4120,  35.0058,  35.0026,2,    200.0,   200.1,2,    6.78,2,    1.04,2,  -999.0,9,  -999.0,9,  11.3803,   14.53,2
740H20090307,       A095,       3,          1,         15,         15,2,20090308,       1441,  -36.46875,  -53.30549,        981,   174.3,  14.8806,  35.4933,  35.4928,2,    195.0,   195.7,2,    4.58,2,    0.62,2,  2116.3,2,  2336.4,2,  14.8543,    7.75,2
740H20090307,       A095,       3,          1,         17,         17,2,20090308,       1441,  -36.46875,  -53.30549,        981,   100.6,  18.1575,  35.8752,  35.8023,2,    204.5,   186.7,2,    5.58,2,    0.46,2,  2111.9,2,  2351.2,3,  18.1401,    4.09,2
740H20090307,       A095,       3,          1,         19,         19,2,20090308,       1441,  -36.46875,  -53.30549,        981,    76.6,  14.4657,  34.3718,  34.4139,2,    193.9,   190.7,2,    6.20,2,    0.88,2,  2100.1,2,  2291.5,2,  14.4545,    7.73,2
740H20090307,       A095,       3,          1,         21,         21,2,20090308,       1441,  -36.46875,  -53.30549,        981,    51.1,  22.1666,  36.0428,  36.1170,2,    206.4,   208.4,2,    3.33,2,    0.18,2,  2075.6,2,  2376.3,2,  22.1564,    0.66,2
740H20090307,       A095,       3,          1,         23,         23,2,20090308,       1441,  -36.46875,  -53.30549,        981,    25.7,  24.2881,  35.7359,  35.7123,2,    206.6,   211.2,2,    3.16,2,    0.10,2,  2041.1,2,  2354.7,2,  24.2826,    0.01,2
740H20090307,       A095,       3,          1,         24,         24,2,20090308,       1441,  -36.46875,  -53.30549,        981,     6.2,  22.5971,  31.9491,  31.9480,2,    219.8,   219.7,2,    1.86,2,    0.44,2,  1927.7,3,  2177.7,2,  22.5959,   -0.02,2
740H20090307,       A095,       4,          1,          1,          1,2,20090308,       1753,  -36.59975,  -53.12847,       1412,  1419.1,   2.9861,  34.4625,  34.4639,2,    186.6,   193.6,2,   55.07,2,    2.25,2,  2223.6,2,  2326.1,2,   2.8854,   33.63,2
740H20090307,       A095,       4,          1,          3,          3,2,20090308,       1753,  -36.59975,  -53.12847,       1412,  1260.6,   3.2970,  34.3277,  34.3258,2,    204.0,   207.2,2,   42.35,2,    2.21,2,  2210.1,2,    2310,2,   3.2063,   33.07,2
740H20090307,       A095,       4,          1,          5,          5,2,20090308,       1753,  -36.59975,  -53.12847,       1412,  1005.3,   3.9530,  34.2901,  34.2918,2,    216.4,   218.1,2,   29.93,2,    2.07,2,  2188.6,2,  2297.5,2,   3.8776,   30.89,2
740H20090307,       A095,       4,          1,          7,          7,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   875.7,   3.9799,  34.1837,  34.1846,2,    244.9,   249.0,2,   21.90,2,    1.92,2,  -999.0,9,  -999.0,9,   3.9150,   28.52,2
740H20090307,       A095,       4,          1,          9,          9,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   751.0,   4.9338,  34.2581,  34.2595,2,    234.7,   238.8,2,   17.07,2,    1.83,2,  2162.6,2,  2288.2,2,   4.8732,   27.54,2
740H20090307,       A095,       4,          1,         11,         11,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   626.4,   6.1293,  34.3690,  34.3692,2,    221.3,   223.7,2,   14.30,2,    1.72,2,  2163.2,2,  2290.1,2,   6.0735,   25.43,2
740H20090307,       A095,       4,          1,         13,         13,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   502.5,   8.1600,  34.5694,  34.5724,2,    206.9,   209.0,2,   10.50,2,    1.49,2,  2150.9,2,  2295.9,2,   8.1078,   22.20,2
740H20090307,       A095,       4,          1,         14,         14,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   377.0,  11.7177,  35.0443,  33.0848,2,    201.7,   202.1,2,    5.84,2,    0.97,2,  -999.0,9,  -999.0,9,  11.6689,   13.56,2
740H20090307,       A095,       4,          1,         15,         15,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   251.4,  14.3349,  35.4716,  35.4709,2,    207.5,   208.4,2,    3.84,2,    0.61,2,  2115.5,2,  2335.8,2,  14.2978,   10.16,2
740H20090307,       A095,       4,          1,         17,         17,2,20090308,       1753,  -36.59975,  -53.12847,       1412,   175.7,  15.9884,  35.7173,  35.7172,2,    202.7,  -999.0,9,    3.21,2,    0.47,2,  2105.7,2,  2348.7,2,  15.9605,    4.90,2
740H20090307,       A095,       4,          1,         19,         19,2,20090308,       1753,  -36.59975,  -53.12847,       1412,    99.4,  17.9949,  35.9898,  35.9834,2,    200.8,   206.6,2,    2.90,2,    0.27,2,  2102.8,2,  2364.6,2,  17.9778,    2.32,2
740H20090307,       A095,       4,          1,         21,         21,2,20090308,       1753,  -36.59975,  -53.12847,       1412,    74.6,  20.0537,  36.3366,  36.3381,2,    218.6,   219.4,2,    2.20,2,    0.08,2,  2083.7,2,  2386.3,2,  20.0398,    0.20,2
740H20090307,       A095,       4,          1,         22,         22,2,20090308,       1753,  -36.59975,  -53.12847,       1412,    49.8,  23.3247,  36.7283,  36.7233,2,    213.7,   217.6,2,    2.27,2,    0.03,2,  -999.0,9,  2409.3,2,  23.3143,    0.05,2
740H20090307,       A095,       4,          1,         23,         23,2,20090308,       1753,  -36.59975,  -53.12847,       1412,    24.3,  24.6168,  36.4708,  36.4844,2,    204.3,   207.3,2,    2.29,2,    0.02,2,  2062.4,2,  2394.7,2,  24.6116,    0.01,2
740H20090307,       A095,       4,          1,         24,         24,2,20090308,       1753,  -36.59975,  -53.12847,       1412,     4.6,  24.7682,  36.2651,  36.2720,2,    206.2,   208.1,2,    2.37,2,    0.04,2,  2053.8,2,  2385.1,2,  24.7672,    0.05,2
740H20090307,       A095,       5,          1,          1,          1,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  2081.5,   3.4719,  34.9118,  34.9125,2,    228.1,   230.2,2,   30.08,2,    1.57,2,  2181.9,2,  2315.5,2,   3.3046,   22.73,2
740H20090307,       A095,       5,          1,          2,          2,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  2013.3,   3.5352,  34.9142,  34.9143,2,    229.5,   231.0,2,   28.83,2,    1.54,2,  2180.7,2,  2316.3,2,   3.3735,   22.35,2
