EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  18HU20070510, AR07W,     3,  1, 309426,     12,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.3074,  31.9351,2,-999.0000,9,    348.9,2,    371.4,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309427,     13,2,20070510,1519, 47.5333, -52.5833,  176,      4.9,   1.3048,  31.9363,2,-999.0000,9,    348.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309428,     14,2,20070510,1519, 47.5333, -52.5833,  176,      4.9,   1.2995,  31.9382,2,-999.0000,9,    348.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309429,     15,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.3057,  31.9357,2,-999.0000,9,    348.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309430,     16,2,20070510,1519, 47.5333, -52.5833,  176,      5.1,   1.2845,  31.9424,2,-999.0000,9,    349.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309431,     17,2,20070510,1519, 47.5333, -52.5833,  176,      4.9,   1.2570,  31.9513,2,-999.0000,9,    349.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309432,     18,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.2717,  31.9418,2,-999.0000,9,    348.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309433,     19,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.2707,  31.9423,2,-999.0000,9,    349.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309434,     20,2,20070510,1519, 47.5333, -52.5833,  176,      5.1,   1.2678,  31.9439,2,-999.0000,9,    349.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309435,     21,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.2646,  31.9436,2,-999.0000,9,    349.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309436,     22,2,20070510,1519, 47.5333, -52.5833,  176,      4.9,   1.2613,  31.9422,2,-999.0000,9,    349.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309437,     23,2,20070510,1519, 47.5333, -52.5833,  176,      4.9,   1.2567,  31.9443,2,-999.0000,9,    349.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     3,  1, 309438,     24,2,20070510,1519, 47.5333, -52.5833,  176,      5.0,   1.2550,  31.9468,2,-999.0000,9,    349.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309439,      1,2,20070511,1558, 52.2795, -52.5585,  340,    200.7,   2.6623,  34.4932,2,-999.0000,9,    277.7,2,    302.1,2,     8.85,6,    13.53,6,     0.93,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309440,      2,2,20070511,1558, 52.2795, -52.5585,  340,    149.7,   1.9593,  34.3021,2,-999.0000,9,    287.9,2,    308.5,2,     8.64,6,    12.74,6,     0.90,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309441,      3,2,20070511,1558, 52.2795, -52.5585,  340,    100.0,   0.8872,  33.9777,2,-999.0000,9,    300.8,2,    322.2,2,     8.63,6,    11.28,6,     0.86,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309442,      4,2,20070511,1558, 52.2795, -52.5585,  340,     80.8,   0.4729,  33.8115,2,-999.0000,9,    305.4,2,    331.3,2,     8.38,6,    10.26,6,     0.85,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309443,      5,2,20070511,1558, 52.2795, -52.5585,  340,     60.2,   0.0895,  33.5894,2,-999.0000,9,    323.6,2,    350.3,2,     6.21,6,     6.22,6,     0.69,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309444,      6,2,20070511,1558, 52.2795, -52.5585,  340,     50.6,   0.1888,  33.5397,2,-999.0000,9,    335.5,2,    363.0,2,     2.80,6,     2.22,6,     0.48,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309445,      7,2,20070511,1558, 52.2795, -52.5585,  340,     40.6,   0.4456,  33.4400,2,-999.0000,9,    360.9,2,    389.7,2,     1.19,6,     0.22,6,     0.28,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309446,      8,2,20070511,1558, 52.2795, -52.5585,  340,     29.7,   0.5361,  33.4049,2,-999.0000,9,    370.1,2,    397.8,2,     1.16,6,     0.18,6,     0.23,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309447,      9,2,20070511,1558, 52.2795, -52.5585,  340,     31.0,   0.5242,  33.3944,2,-999.0000,9,    370.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309448,     10,2,20070511,1558, 52.2795, -52.5585,  340,     20.0,   0.5274,  33.3670,2,-999.0000,9,    374.9,2,    406.3,2,     0.95,6,     0.00,6,     0.20,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
