EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
29AH20120622,      OVIDE,       1,          1,         13,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.2,  14.3075,  35.9606,2,  35.9615,2,    248.1,2,   240.2,3,    1.45,2,    1.87,2,    0.07,2,-999.000,9,-999.000,9,  2354.3,2,   7.9130,2,    25.00,  14.3010
29AH20120622,      OVIDE,       1,          1,         14,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.1,  14.3231,  35.9612,2,  35.9633,2,    248.3,2,   240.9,3, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9153,2,    25.00,  14.3166
29AH20120622,      OVIDE,       1,          1,         15,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.2,  14.3465,  35.9631,2,-999.0000,9,    248.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9161,2,    25.00,  14.3400
29AH20120622,      OVIDE,       1,          1,         16,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.2,  14.3580,  35.9641,2,-999.0000,9,    248.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9176,2,    25.00,  14.3515
29AH20120622,      OVIDE,       1,          1,         17,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.2,  14.3533,  35.9631,2,-999.0000,9,    248.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9175,2,    25.00,  14.3468
29AH20120622,      OVIDE,       1,          1,         18,2,20120623,       0000,    40.3326,    -9.4594,        155,    44.1,  14.3505,  35.9631,2,-999.0000,9,    248.3,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9239,2,    25.00,  14.3440
29AH20120622,      OVIDE,       1,          1,         19,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.1,  18.4173,  35.6094,2,  35.6123,2,    243.2,2,   241.0,2,    1.01,2,    0.06,2,    0.01,2,-999.000,9,-999.000,9,  2341.7,2,   7.9966,2,    25.00,  18.4166
29AH20120622,      OVIDE,       1,          1,         20,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.1,  18.4181,  35.6096,2,  35.6231,4,    243.2,2,   244.0,2, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9987,2,    25.00,  18.4174
29AH20120622,      OVIDE,       1,          1,         21,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.1,  18.4178,  35.6096,2,-999.0000,9,    243.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9992,2,    25.00,  18.4171
29AH20120622,      OVIDE,       1,          1,         22,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.0,  18.4167,  35.6096,2,-999.0000,9,    243.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9973,2,    25.00,  18.4160
