EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,TOC,TOC_FLAG_W,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,DBAR,,UMOL/KG,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,,,BQ/M^3,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20031106, A10, 622, 1, 14, 12026, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6262, 2,  36.0898, 2, -999.0000, 9,    180.8, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6082, 25.9543,  18.6277, 2, 104.2, 2, 190.76, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 8, 12020, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6086, 2,  36.0875, 2, -999.0000, 9,    180.9, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.5906, 25.9584,  18.6064, 2, 104.3, 2, 190.8, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 34, 12046, 2, 20031107, 1102, -27.7318, -47.3898, 181,    102.0, 2,  18.6916, 2,  36.0993, 2,  36.1018, 2,    180.7, 1,    189.4, 2,     2.71, 2,     3.56, 2,     0.07, 2,     0.39, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6735, 25.9444,  18.6952, 2, 103.2, 2, 190.72, 2, 0.12, 0.04, 0.01, 0.01, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 20, 12032, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.0, 2,  18.6570, 2,  36.0931, 2, -999.0000, 9,    180.3, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6390, 25.9493,  18.6644, 2, 103.9, 2, 190.71, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 17, 12029, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.0, 2,  18.6614, 2,  36.0934, 2, -999.0000, 9,    180.5, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6433, 25.95,  18.6568, 2, 103.7, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 16, 12028, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.0, 2,  18.6432, 2,  36.0915, 2, -999.0000, 9,    180.7, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6252, 25.9517,  18.6434, 2, 104.1, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 28, 12040, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6760, 2,  36.0935, 2, -999.0000, 9,    180.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6579, 25.9453,  18.6742, 2, 103.2, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 26, 12038, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6763, 2,  36.0942, 2, -999.0000, 9,    180.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6582, 25.9453,  18.6767, 2, 103.3, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 25, 12037, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6823, 2,  36.0950, 2, -999.0000, 9,    180.0, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6642, 25.9446,  18.6834, 2, 103.1, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 19, 12031, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6648, 2,  36.0941, 2, -999.0000, 9,    180.3, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6467, 25.9478,  18.6707, 2, 103.7, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
