BOTTLE,20131114PRINUNIVRMK
# 11/12/13 Initialized README file 					 
# Data source: A.Rios, revised 11/14/2013				 
# SHIP: HESPERIDES					 
# Cruise: FICARAM_XV					 
# Region: Atlantic Ocean; A17 extended north to Gibralter 
# EXPOCODE: 29HE20130320					 
# DATES: 3/20 - 5/22/2013 					 
# Chief Scientist: A.F. Rios					 
# 108 stations with 24 place Rosette 
# Hydro: Who - Fiz F. Perez/Jose Luis Pelegri; Status - final 
# 	Notes:	CTDSAL only			 
# Nuts: Mercedes de la Paz/ Fernando Alonso/Elena Royo; Status - final	 
# 	Notes: 				 
# O2: Who - Anton Velo/Maribel Garcia-Ibañez; Status - final			 
# 	Notes: 				 
# TA: Who - Fiz F. Perez/A. Velo/Maribel Garcia-Ibañez  ; Status - final		 
# 	Notes: 				 
# pH: Who - Fiz F. Perez/Xose A. Padin/Maribel Garcia-Ibañez; Status - final 
# 	Notes: SWS @ 25C						 
# References:					 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  29HE20130320,     1,  1,     19,2,20130323,1143,-50.7090, -57.0020,  347,      6.5,   8.7051,  33.7700,2,    285.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.1,2,-999.0000,9,  -999.00,   8.7044
  29HE20130320,     1,  1,     20,2,20130323,1143,-50.7090, -57.0020,  347,      5.9,   8.7097,  33.7703,2,    285.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7091
  29HE20130320,     1,  1,     21,2,20130323,1143,-50.7090, -57.0020,  347,      5.7,   8.7069,  33.7705,2,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7063
  29HE20130320,     1,  1,     22,2,20130323,1143,-50.7090, -57.0020,  347,      5.9,   8.7055,  33.7703,2,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2256.2,2,-999.0000,9,  -999.00,   8.7049
  29HE20130320,     1,  1,     23,2,20130323,1143,-50.7090, -57.0020,  347,      6.2,   8.7039,  33.7701,2,    285.4,2,    285.4,2,     1.60,2,    12.36,2,     0.91,2,   2256.3,2,   7.8313,2,    25.00,   8.7033
  29HE20130320,     2,  1,      1,2,20130323,1740,-50.1030, -56.4760,  501,    485.5,   3.8662,  34.1109,2,    275.9,2,    275.4,2,    17.39,2,    27.05,2,     1.80,2,   2277.2,2,   7.6657,2,    25.00,   3.8322
  29HE20130320,     2,  1,      2,2,20130323,1740,-50.1030, -56.4760,  501,    486.5,   3.8652,  34.1111,2,    275.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2277.2,2,-999.0000,9,  -999.00,   3.8311
  29HE20130320,     2,  1,      3,2,20130323,1740,-50.1030, -56.4760,  501,    405.8,   4.1799,  34.1025,2,    281.5,2,    281.0,2,    13.86,2,    25.88,2,     1.74,2,   2276.8,2,   7.6805,2,    25.00,   4.1507
  29HE20130320,     2,  1,      4,2,20130323,1740,-50.1030, -56.4760,  501,    411.5,   4.1710,  34.1038,2,    287.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2276.9,2,-999.0000,9,  -999.00,   4.1414
  29HE20130320,     2,  1,      5,2,20130323,1740,-50.1030, -56.4760,  501,    304.0,   4.3992,  34.0985,2,    287.2,2,    287.0,2,    11.33,2,    24.80,2,     1.64,2,   2274.7,2,   7.6993,2,    25.00,   4.3771
  29HE20130320,     2,  1,      6,2,20130323,1740,-50.1030, -56.4760,  501,    304.1,   4.3959,  34.0984,2,    287.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2274.7,2,-999.0000,9,  -999.00,   4.3738
  29HE20130320,     2,  1,      7,2,20130323,1740,-50.1030, -56.4760,  501,    204.0,   4.5106,  34.0821,2,    285.8,2,    285.1,2,    10.66,2,    24.47,2,     1.60,2,   2272.9,2,   7.6937,2,    25.00,   4.4957
  29HE20130320,     2,  1,      8,2,20130323,1740,-50.1030, -56.4760,  501,    203.3,   4.5091,  34.0822,2,    285.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2273.0,2,-999.0000,9,  -999.00,   4.4943
  29HE20130320,     2,  1,      9,2,20130323,1740,-50.1030, -56.4760,  501,    153.9,   4.8714,  34.0833,2,    293.7,2,    293.6,2,     7.09,2,    23.32,2,     1.48,2,   2274.1,2,   7.7126,2,    25.00,   4.8598
  29HE20130320,     2,  1,     10,2,20130323,1740,-50.1030, -56.4760,  501,    152.8,   4.8737,  34.0831,2,    293.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2274.1,2,-999.0000,9,  -999.00,   4.8622
  29HE20130320,     2,  1,     11,2,20130323,1740,-50.1030, -56.4760,  501,    101.2,   6.6327,  34.0335,2,    294.5,2,    294.3,2,     2.80,2,    19.74,2,     1.31,2,   2268.9,2,   7.7545,2,    25.00,   6.6237
  29HE20130320,     2,  1,     12,2,20130323,1740,-50.1030, -56.4760,  501,    101.6,   6.6232,  34.0335,2,    294.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2268.9,2,-999.0000,9,  -999.00,   6.6142
  29HE20130320,     2,  1,     13,2,20130323,1740,-50.1030, -56.4760,  501,     50.7,   7.5401,  33.9963,2,    299.0,2,    299.4,2,     1.67,2,    17.38,2,     1.08,2,   2270.7,2,   7.7955,2,    25.00,   7.5353
  29HE20130320,     2,  1,     14,2,20130323,1740,-50.1030, -56.4760,  501,     51.5,   7.5401,  33.9963,2,    299.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.7,2,-999.0000,9,  -999.00,   7.5352
  29HE20130320,     2,  1,     15,2,20130323,1740,-50.1030, -56.4760,  501,      5.1,   7.7156,  33.9884,2,    298.5,2,    299.2,2,     1.78,2,    17.24,2,     0.99,2,   2270.5,2,   7.7985,2,    25.00,   7.7151
  29HE20130320,     2,  1,     16,2,20130323,1740,-50.1030, -56.4760,  501,      5.2,   7.7140,  33.9886,2,    300.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.5,2,-999.0000,9,  -999.00,   7.7135
  29HE20130320,     2,  1,     17,2,20130323,1740,-50.1030, -56.4760,  501,      5.1,   7.7157,  33.9886,2,    301.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.5,2,-999.0000,9,  -999.00,   7.7152
  29HE20130320,     2,  1,     18,2,20130323,1740,-50.1030, -56.4760,  501,      4.5,   7.7136,  33.9888,2,    301.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.6,2,-999.0000,9,  -999.00,   7.7132
  29HE20130320,     2,  1,     19,2,20130323,1740,-50.1030, -56.4760,  501,      5.0,   7.7135,  33.9890,2,    300.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.6,2,-999.0000,9,  -999.00,   7.7130
  29HE20130320,     2,  1,     20,2,20130323,1740,-50.1030, -56.4760,  501,      5.2,   7.7167,  33.9885,2,    301.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.5,2,-999.0000,9,  -999.00,   7.7162
  29HE20130320,     2,  1,     21,2,20130323,1740,-50.1030, -56.4760,  501,      5.1,   7.7140,  33.9886,2,    301.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.5,2,-999.0000,9,  -999.00,   7.7135
  29HE20130320,     2,  1,     22,2,20130323,1740,-50.1030, -56.4760,  501,      5.2,   7.7050,  33.9888,2,    300.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.6,2,-999.0000,9,  -999.00,   7.7045
  29HE20130320,     2,  1,     23,2,20130323,1740,-50.1030, -56.4760,  501,      4.8,   7.6930,  33.9896,2,    301.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.6,2,-999.0000,9,  -999.00,   7.6925
  29HE20130320,     2,  1,     24,2,20130323,1740,-50.1030, -56.4760,  501,      4.8,   7.7046,  33.9892,2,    301.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2270.6,2,-999.0000,9,  -999.00,   7.7041
  29HE20130320,     3,  1,      1,2,20130323,2342,-49.5060, -55.9560,  744,    729.2,   3.2485,  34.2188,2,    232.8,2,    235.1,2,    34.26,2,    31.06,2,     2.10,2,   2293.2,2,   7.6149,2,    25.00,   3.1995
  29HE20130320,     3,  1,      2,2,20130323,2342,-49.5060, -55.9560,  744,    729.5,   3.2486,  34.2188,2,    232.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2293.2,2,-999.0000,9,  -999.00,   3.1995
  29HE20130320,     3,  1,      3,2,20130323,2342,-49.5060, -55.9560,  744,    709.8,   3.2558,  34.2171,2,    233.4,2,    234.0,2,    34.15,2,    31.07,2,     2.08,2,   2293.2,2,   7.6123,2,    25.00,   3.2081
  29HE20130320,     3,  1,      4,2,20130323,2342,-49.5060, -55.9560,  744,    710.2,   3.2566,  34.2169,2,    233.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2293.2,2,-999.0000,9,  -999.00,   3.2089
  29HE20130320,     3,  1,      5,2,20130323,2342,-49.5060, -55.9560,  744,    606.6,   3.4917,  34.1754,2,    248.9,2,    251.7,2,    26.91,2,    29.63,2,     1.97,2,   2289.1,2,   7.6352,2,    25.00,   3.4504
  29HE20130320,     3,  1,      6,2,20130323,2342,-49.5060, -55.9560,  744,    606.9,   3.4938,  34.1752,2,    249.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2289.0,2,-999.0000,9,  -999.00,   3.4524
  29HE20130320,     3,  1,      7,2,20130323,2342,-49.5060, -55.9560,  744,    505.7,   3.5439,  34.1204,2,    269.7,2,    270.1,2,    20.18,2,    27.89,2,     1.85,2,   2282.9,2,   7.6597,2,    25.00,   3.5097
  29HE20130320,     3,  1,      8,2,20130323,2342,-49.5060, -55.9560,  744,    505.0,   3.5479,  34.1207,2,    269.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2282.9,2,-999.0000,9,  -999.00,   3.5137
  29HE20130320,     3,  1,      9,2,20130323,2342,-49.5060, -55.9560,  744,    404.8,   3.8977,  34.1090,2,    281.8,2,    282.4,2,    15.54,2,    26.41,2,     1.74,2,   2282.4,2,   7.6822,2,    25.00,   3.8695
  29HE20130320,     3,  1,     10,2,20130323,2342,-49.5060, -55.9560,  744,    405.7,   3.8980,  34.1089,2,    281.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2282.4,2,-999.0000,9,  -999.00,   3.8697
  29HE20130320,     3,  1,     11,2,20130323,2342,-49.5060, -55.9560,  744,    306.4,   4.1892,  34.1077,2,    290.1,2,    289.7,2,    12.44,2,    25.26,2,     1.65,2,   2279.6,2,   7.6986,2,    25.00,   4.1674
  29HE20130320,     3,  1,     12,2,20130323,2342,-49.5060, -55.9560,  744,    306.6,   4.1865,  34.1075,2,    289.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2279.6,2,-999.0000,9,  -999.00,   4.1647
  29HE20130320,     3,  1,     13,2,20130323,2342,-49.5060, -55.9560,  744,    201.9,   4.5289,  34.1112,2,    294.3,2,    294.6,2,     9.65,2,    24.03,2,     1.54,2,   2274.8,2,   7.7109,2,    25.00,   4.5141
  29HE20130320,     3,  1,     14,2,20130323,2342,-49.5060, -55.9560,  744,    201.9,   4.5340,  34.1107,2,    294.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2274.9,2,-999.0000,9,  -999.00,   4.5192
  29HE20130320,     3,  1,     15,2,20130323,2342,-49.5060, -55.9560,  744,    153.7,   4.6515,  34.0983,2,    295.0,2,    294.7,2,     8.52,2,    23.77,2,     1.51,2,   2275.3,2,   7.7129,2,    25.00,   4.6402
  29HE20130320,     3,  1,     16,2,20130323,2342,-49.5060, -55.9560,  744,    155.3,   4.6503,  34.0992,2,    294.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2275.3,2,-999.0000,9,  -999.00,   4.6389
  29HE20130320,     3,  1,     17,2,20130323,2342,-49.5060, -55.9560,  744,    101.2,   5.2565,  34.0699,2,    295.4,2,    294.5,2,     5.29,2,    22.62,2,     1.47,2,   2274.4,2,   7.7308,2,    25.00,   5.2486
  29HE20130320,     3,  1,     18,2,20130323,2342,-49.5060, -55.9560,  744,    101.8,   5.2270,  34.0692,2,    294.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2274.4,2,-999.0000,9,  -999.00,   5.2191
  29HE20130320,     3,  1,     19,2,20130323,2342,-49.5060, -55.9560,  744,     49.9,   7.9013,  34.0008,2,    296.8,2,    296.7,2,     0.87,2,    15.89,2,     0.92,2,   2273.3,2,   7.8253,2,    25.00,   7.8964
  29HE20130320,     3,  1,     20,2,20130323,2342,-49.5060, -55.9560,  744,     50.1,   7.9009,  34.0009,2,    296.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2273.3,2,-999.0000,9,  -999.00,   7.8960
  29HE20130320,     3,  1,     21,2,20130323,2342,-49.5060, -55.9560,  744,      7.1,   7.9985,  34.0002,2,    296.7,2,    297.0,2,     0.82,2,    16.00,2,     0.96,2,   2275.5,2,   7.8260,2,    25.00,   7.9978
  29HE20130320,     3,  1,     22,2,20130323,2342,-49.5060, -55.9560,  744,      7.1,   7.9984,  34.0001,2,    296.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2271.1,2,-999.0000,9,  -999.00,   7.9977
  29HE20130320,     3,  1,     23,2,20130323,2342,-49.5060, -55.9560,  744,      7.1,   7.9985,  34.0002,2,    296.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2271.1,2,-999.0000,9,  -999.00,   7.9978
  29HE20130320,     3,  1,     24,2,20130323,2342,-49.5060, -55.9560,  744,      7.3,   7.9988,  34.0002,2,    296.5,2,    296.9,2,     0.82,2,    16.13,2,     1.00,2,   2271.0,2,   7.8267,2,    25.00,   7.9981
  29HE20130320,     4,  1,      1,2,20130324,0613,-48.9060, -55.4340, 1220,   1205.3,   2.5566,  34.5340,2,    171.3,2,    170.6,2,    76.45,2,    34.64,2,     2.33,2,   2327.4,2,   7.5491,2,    25.00,   2.4769
  29HE20130320,     4,  1,      2,2,20130324,0613,-48.9060, -55.4340, 1220,   1204.1,   2.5566,  34.5342,2,    171.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2327.4,2,-999.0000,9,  -999.00,   2.4770
  29HE20130320,     4,  1,      3,2,20130324,0613,-48.9060, -55.4340, 1220,   1014.5,   3.1369,  34.3178,2,    205.6,2,    205.9,2,    46.21,2,    33.23,2,     2.24,2,   2312.3,2,   7.5793,2,    25.00,   3.0671
  29HE20130320,     4,  1,      4,2,20130324,0613,-48.9060, -55.4340, 1220,   1013.9,   3.1367,  34.3178,2,    206.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2312.3,2,-999.0000,9,  -999.00,   3.0670
  29HE20130320,     4,  1,      5,2,20130324,0613,-48.9060, -55.4340, 1220,    909.1,   3.3220,  34.2674,2,    219.3,2,    218.8,2,    38.42,2,    31.77,2,     2.16,2,   2306.8,2,   7.5981,2,    25.00,   3.2590
