EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,DEG C
  318M20130321,   P02,     1,  2,      1,      1,2,20130322,2205, 32.5068, 133.0297,  163,    159.0,  16.3022,  34.5917,2,  34.5917,2,    190.3,2,    190.4,2,    10.64,2,     7.85,2,     0.13,2,     0.59,2,    2.595,2,    1.343,2,    0.079,2,     1.45,2,   2059.6,6,   2277.4,2,   7.9018,2,    25.00,     53.9,2,    12.45,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  16.2768
  318M20130321,   P02,     2,  1,     20,     20,2,20130323,0011, 32.4468, 133.1832,  877,      3.0,  19.2960,  34.6997,2,  34.7000,2,    226.5,2,    228.0,2,     2.83,2,     0.75,2,     0.11,2,     0.12,2,    2.673,2,    1.312,2,    0.152,2,     1.63,2,   1998.1,6,   2280.9,2,   8.0228,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2955
  318M20130321,   P02,     2,  1,     19,     19,2,20130323,0011, 32.4468, 133.1832,  877,     28.8,  19.2521,  34.7001,2,  34.7002,2,    226.4,2,    227.2,2,     2.83,2,     0.81,2,     0.12,2,     0.13,2,    2.294,2,    1.327,2,    0.160,2,     1.61,2,   1998.8,2,   2280.5,2,   8.0213,6,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.2469
  318M20130321,   P02,     2,  1,     18,     18,2,20130323,0011, 32.4468, 133.1832,  877,     53.3,  19.0529,  34.6949,2,  34.6950,2,    224.7,2,    225.2,2,     3.12,2,     1.18,2,     0.16,2,     0.16,2,    2.419,2,    1.095,2,    0.127,2,     1.66,2,   2004.1,2,   2280.4,6,   8.0120,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  19.0434
  318M20130321,   P02,     2,  1,     17,     17,2,20130323,0011, 32.4468, 133.1832,  877,     77.5,  18.7473,  34.6838,2,  34.6828,2,    228.4,2,    223.0,2,     3.51,2,     1.66,2,     0.20,2,     0.19,2,    2.709,2,    1.790,4,    0.128,2,     1.57,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  18.7337
  318M20130321,   P02,     2,  1,     16,     16,2,20130323,0011, 32.4468, 133.1832,  877,    103.4,  18.0036,  34.6632,2,  34.6628,2,    202.5,2,    207.1,2,     5.37,2,     3.96,2,     0.26,2,     0.33,2,    3.077,2,    1.373,2,    0.091,2,     1.52,2,   2029.2,2,   2277.9,2,   7.9643,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  17.9859
  318M20130321,   P02,     2,  1,     15,     15,9,20130323,0011, 32.4468, 133.1832,  877,    129.1,  17.2290,  34.6110,2,-999.0000,9,    197.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  17.2076
  318M20130321,   P02,     2,  1,     14,     14,2,20130323,0011, 32.4468, 133.1832,  877,    155.7,  16.3432,  34.5774,2,  34.5796,2,    193.9,2,    197.3,2,     9.66,2,     7.16,2,     0.08,2,     0.54,2,    2.843,2,    1.378,2,    0.102,2,     1.49,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  16.3183
  318M20130321,   P02,     2,  1,     13,     13,2,20130323,0011, 32.4468, 133.1832,  877,    180.7,  15.5806,  34.5559,2,  34.5523,2,    185.5,2,    183.0,2,    13.76,2,     9.79,2,     0.07,2,     0.70,2,    3.150,4,    1.377,2,    0.099,2,     1.34,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  15.5526
  318M20130321,   P02,     2,  1,     12,     12,2,20130323,0011, 32.4468, 133.1832,  877,    205.2,  12.8792,  34.4503,2,  34.4492,2,    166.2,2,    162.5,2,    25.19,2,    15.46,2,     0.03,2,     1.12,2,    2.930,2,    1.309,2,    0.046,2,        1,2,   2122.3,2,   2280.1,2,   7.7759,6,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  12.8513
