EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,HELIUM,HELIER,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,NEON,NEONE,NEON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/L,,NMOL/KG,NMOL/KG,,PERCNT,PERCNT,,NMOL/KG,NMOL/KG,,DEG C
  06MT20010717,   310,  1,     13,2,20010719,0000, 66.2310, -27.5210,  502,    252.6,   1.7566,  34.7601,2,    311.8,2,     5.80,2,    12.85,2,     0.17,2,     0.57,2,    4.885,2,    2.513,2,   2143.8,2,   2297.7,2,   7.7473,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   1.7434
  06MT20010717,   310,  1,     12,2,20010719,0000, 66.2310, -27.5210,  502,    253.2,   1.7144,  34.7539,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   1.7012
  06MT20010717,   310,  1,     11,2,20010719,0000, 66.2310, -27.5210,  502,    303.0,   0.1585,  34.8861,2,    311.9,2,     6.75,2,    12.78,2,     0.00,2,     0.56,2,    3.595,2,    1.787,2,   2153.2,2,   2298.0,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.1465
  06MT20010717,   310,  1,     10,2,20010719,0000, 66.2310, -27.5210,  502,    354.1,   0.1009,  34.8877,2,    312.6,2,     6.71,2,    12.64,2,     0.00,2,     0.56,2, -999.000,9, -999.000,9,   2169.6,2,   2297.7,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0869
  06MT20010717,   310,  1,      9,2,20010719,0000, 66.2310, -27.5210,  502,    354.4,   0.1021,  34.8876,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.550,3,    1.750,3,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0880
  06MT20010717,   310,  1,      8,2,20010719,0000, 66.2310, -27.5210,  502,    404.6,   0.1015,  34.8874,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0853
  06MT20010717,   310,  1,      7,2,20010719,0000, 66.2310, -27.5210,  502,    405.6,   0.1022,  34.8876,2,    312.3,2,     6.71,2,    12.74,2,     0.00,2,     0.56,2,    3.324,3,    1.610,3,   2153.4,2,   2305.7,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0859
  06MT20010717,   310,  1,      6,2,20010719,0000, 66.2310, -27.5210,  502,    451.3,   0.0971,  34.8872,2,    312.4,2,     6.70,2,    12.68,2,     0.00,2,     0.58,2,    3.716,3,    1.766,3,   2153.9,2,   2296.4,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0788
  06MT20010717,   310,  1,      5,2,20010719,0000, 66.2310, -27.5210,  502,    451.3,   0.0942,  34.8871,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0759
  06MT20010717,   310,  1,      4,2,20010719,0000, 66.2310, -27.5210,  502,    486.5,   0.1036,  34.8869,2,    312.9,2,     6.72,2,    12.81,2,     0.00,2,     0.58,2,    2.622,4,    1.309,4,   2154.0,2,   2302.0,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0837
  06MT20010717,   310,  1,      3,2,20010719,0000, 66.2310, -27.5210,  502,    486.5,   0.1045,  34.8870,2,    311.8,2,     6.73,2,    12.64,2,     0.00,2,     0.57,2, -999.000,9, -999.000,9,   2154.3,2,   2306.2,2,   7.7315,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0846
  06MT20010717,   310,  1,      2,2,20010719,0000, 66.2310, -27.5210,  502,    486.6,   0.1038,  34.8869,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0839
  06MT20010717,   310,  1,      1,2,20010719,0000, 66.2310, -27.5210,  502,    486.7,   0.1029,  34.8869,2,    312.1,2,     6.73,2,    12.83,2,     0.00,2,     0.57,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   0.0830
