EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,DEG C
58JH19990615, 75N, 461, 1, 4, 2, 19990618, 0, 68.4108, 14.0673, 143,     11.6,   8.2360,  33.5674, 2,  33.5410, 3,   -999.0, 9,     1.80, 2,     0.65, 2,     0.01, 2,     0.18, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.2348
58JH19990615, 75N, 461, 1, 3, 2, 19990618, 0, 68.4108, 14.0673, 143,     19.0,   8.2450,  33.5827, 2,  33.5680, 3,   -999.0, 9,     1.97, 2,     0.62, 2,     0.01, 2,     0.17, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.2431
58JH19990615, 75N, 461, 1, 2, 2, 19990618, 0, 68.4108, 14.0673, 143,     32.5,   8.1780,  33.6270, 2,  33.6060, 3,   -999.0, 9,     2.17, 2,     0.77, 2,     0.01, 2,     0.18, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.1748
58JH19990615, 75N, 461, 1, 1, 2, 19990618, 0, 68.4108, 14.0673, 143,     34.8,   8.1460,  33.6240, 2,  33.6040, 3,   -999.0, 9,     2.18, 2,     0.78, 2,     0.01, 2,     0.19, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.1425
58JH19990615, 75N, 462, 1, 6, 2, 19990618, 0, 68.4302, 14.0150, 143,      3.5,   8.2130, -999.0000, 9,  33.5960, 3,   -999.0, 9,     2.18, 2,     0.70, 2,     0.01, 2,     0.17, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 462, 1, 5, 2, 19990618, 0, 68.4302, 14.0150, 143,     10.8,   8.2120,  33.6167, 2,  33.5970, 3,   -999.0, 9,     2.19, 2,     0.69, 2,     0.01, 2,     0.17, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.2109
58JH19990615, 75N, 462, 1, 4, 2, 19990618, 0, 68.4302, 14.0150, 143,     30.2,   8.0460,  33.6341, 2,  33.6110, 3,   -999.0, 9,     2.26, 2,     1.08, 2,     0.02, 2,     0.19, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.0430
58JH19990615, 75N, 462, 1, 3, 2, 19990618, 0, 68.4302, 14.0150, 143,     48.8,   8.0230,  33.6354, 2,  33.6100, 3,   -999.0, 9,     2.25, 2,     1.12, 2,     0.02, 2,     0.19, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.0182
58JH19990615, 75N, 462, 1, 2, 2, 19990618, 0, 68.4302, 14.0150, 143,     75.8,   7.1710,  33.6756, 2,  33.6530, 3,   -999.0, 9,     2.54, 2,     3.01, 2,     0.06, 2,     0.32, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   7.1640
58JH19990615, 75N, 462, 1, 1, 2, 19990618, 0, 68.4302, 14.0150, 143,    100.6,   6.4320,  34.0236, 2,  34.0080, 3,   -999.0, 9,     3.54, 2,     6.21, 2,     0.09, 2,     0.50, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.4232
58JH19990615, 75N, 463, 1, 10, 2, 19990618, 0, 68.4773, 13.8840, 188,      4.0,   8.5350, -999.0000, 9,  33.6510, 3,   -999.0, 9,     2.21, 2,     0.32, 2,     0.00, 2,     0.15, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 463, 1, 9, 2, 19990618, 0, 68.4773, 13.8840, 188,      8.3,   8.5290,  33.6778, 2,  33.6510, 3,   -999.0, 9,     2.22, 2,     0.32, 2,     0.00, 2,     0.15, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.5282
