EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,SBE35,SBE35_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,PMOL/KG,,ITS-90,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,BQ/CUM,,BQ/M^3,MBQ/M^3,,MBQ/M^3,DEG C,KG/M^3
49NZ20070724,        P01,       1,          1,         18,     X12024,2,         18,2,20070726,       0910,    42.9715,   145.4543,         99,     9.1,2,  10.1947,2,  33.1465,2,-999.0000,9,   336.48,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,  10.16832,2,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,  10.1937,    25.4722
49NZ20070724,        P01,       1,          1,         17,     X12023,9,         17,2,20070726,       0910,    42.9715,   145.4543,         99,    49.3,2,   5.7261,2,  33.4182,2,-999.0000,9,   262.34,2, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,   5.72651,2,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,   5.7221,    26.3368
49NZ20070724,        P01,       1,          1,         16,     X12022,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         15,     X12021,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         14,     X12020,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         13,     X12019,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         12,     X12040,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         11,     X12047,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,         10,     X12010,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
49NZ20070724,        P01,       1,          1,          9,     X12015,9,     -999.0,9,20070726,       0910,    42.9715,   145.4543,         99,  -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,  -999.0,9,  -999.0,-999.000,9,-999.00000,9,     -999.0,     -999.0,     -999.0,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0,-999.0000,     -999.0
