BOTTLE,20100830CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2010-08-30
#original HYD file: /Users/cberys/Work/Data/2010.08.30_P142007_1_PH_header_CBG/working/original_hy1.csv  2010-08-30
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,PH_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,DM/.1MG,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20071008, P01, 28, 2, 28, X12034, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    501.4, 2,   3.8973, 2,  34.1625, 2,  34.1637, 6,     57.8, 2,     56.5, 2,   115.43, 2,    42.02, 2,     0.02, 2,     3.03, 2,    0.988, 2,    0.473, 2,    0.050, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   3.8620, 27.1340,   3.8965, 2, 9, 0.37, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 27, X12049, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    600.0, 2,   3.7541, 2,  34.2541, 2,  34.2505, 2,     50.0, 2,     50.0, 2,   117.04, 2,    41.31, 2,     0.02, 2,     2.97, 2,    0.630, 2,    0.299, 2,    0.037, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   3.7119, 27.2220,   3.7544, 2, 9, 0.38, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 26, X12032, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    700.8, 2,   3.2880, 2,  34.2831, 2,  34.2831, 2,     41.7, 2,     40.8, 2,   124.80, 2,    41.85, 2,     0.02, 2,     3.01, 2,    0.522, 6,    0.243, 6,    0.033, 6, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   3.2407, 27.2906,   3.2863, 2, 9, 0.39, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 25, X12043, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    799.8, 2,   2.8828, 2,  34.3211, 2,  34.3229, 2,     35.8, 2,     35.5, 2,   130.97, 2,    42.28, 2,     0.03, 2,     3.03, 2,    0.424, 2,    0.198, 2,    0.022, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.8307, 27.3583,   2.8838, 2, 9, 0.41, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 24, X12030, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    899.5, 2,   2.6862, 2,  34.3579, 2,  34.3572, 2,     36.5, 2,     36.6, 2,   135.82, 2,    42.30, 2,     0.03, 2,     3.02, 2,    0.388, 2,    0.184, 2,    0.025, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.6283, 27.4055,   2.6855, 2, 9, 0.42, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 23, X12027, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   1001.7, 2,   2.5504, 2,  34.3922, 2,  34.3920, 6,     36.6, 2,     38.0, 2,   140.92, 2,    42.58, 2,     0.01, 2,     3.05, 2,    0.317, 2,    0.149, 2,    0.020, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.4861, 27.4451,   2.5508, 2, 9, 0.43, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 22, X12028, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   1200.7, 2,   2.3809, 2,  34.4642, 2,  34.4635, 2,     41.6, 2,     42.2, 2,   150.36, 2,    42.84, 2,     0.02, 2,     3.06, 2,    0.162, 2,    0.074, 2,    0.008, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.3034, 27.5179,   2.3805, 2, 9, 0.45, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 21, X12009, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   1400.6, 2,   2.2223, 2,  34.5132, 2,  34.5132, 2,     49.1, 2,     49.2, 2,   156.13, 2,    42.61, 2,     0.01, 2,     3.04, 2,    0.090, 2,    0.038, 2,    0.006, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.1313, 27.5712,   2.2224, 2, 9, 0.46, 0.15, 0.01, 0.018,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 20, X12026, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   1602.3, 2,   2.0783, 2,  34.5461, 2,  34.5463, 2,     61.2, 2,     59.4, 2,   159.09, 2,    42.13, 2,     0.03, 2,     2.99, 2,    0.060, 2,    0.024, 2,    0.004, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.9733, 27.6101,   2.0783, 2, 9, 0.47, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 19, X12025, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   1801.2, 2,   1.9789, 2,  34.5746, 2,  34.5743, 2,     65.8, 2,     68.6, 2,   160.92, 2,    41.57, 2,     0.01, 2,     2.95, 2,    0.033, 2,    0.011, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.8593, 27.6418,   1.9789, 2, 9, 0.47, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
