BOTTLE,20120208PRINUNIVRMK
# 2/6/2012 Initialized README file  
# Data source:  2/6/2012 (via R.Ballerby and S.van Heuven) 
# SHIP: Polarstern 
# Cruise: ANT-XXIV_2 
# Region: 3 meridional secitons at 3W,0,3E; eastern Weddell Sea; A12 partial; Capetown to Capetown 
# EXPOCODE: 06AQ20071128 
# DATES: 11/28/2007 - 2/4/2008 
# Chief Scientist: Ulrich Bathmann (AWI) 
# 77 stations with 24 place Rosette 
# Hydro: Who - V. Strass; Status -  final 
# 	Notes: 	Bottle numbers fabricated 
# 	Temperature back-calculated from theta 
# 	No bottle salinity 
# Nuts: Who - R. Bellerby; Status - final 
# 	Notes: nitrate only. Data very noisy 
# O2: Who - R. Bellerby; Status - final 
# 	Notes: no CTDOXY in file 
# TCO2: Who - R. Bellerby; Status - final 
# 	Notes: See Hauck et al., 2009 
# TA: Who - R. Bellerby; Status - final 
# 	Notes:  
# CFC: Who - ; Status -  no data in file 
# 	Notes:  includes CFC-113 and CCl-4 
# POC/ChloroA: Who -  ; Status - no data yet  
# 	Notes:  
# References: 
# Hauck, J., M. Hoppema, R.G.J. Bellerby, C. Völker and D. Wolf-Gladrow, 2010. Data-based estimation of anthropogenic carbon and acidification in the Weddell Sea on a decadal time scale. Journal of Geophysical Research 115: C03004, doi:10.1029/2009JC005479. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  06AQ20071128,   A12,   313,  1,      3,2,    -999,   0,-52.0370,  -0.0170, 2997,     39.9,   1.3090,  33.7510,2,    341.2,2,    24.90,2,   2154.8,2,   2287.0,2,   1.3070
  06AQ20071128,   A12,   313,  1,      2,2,    -999,   0,-52.0370,  -0.0170, 2997,     19.3,   1.3190,  33.7500,2,    341.3,2,    24.70,2,   2154.5,2,   2289.5,2,   1.3180
  06AQ20071128,   A12,   313,  1,      1,2,    -999,   0,-52.0370,  -0.0170, 2997,     10.0,   1.3190,  33.7500,2,    341.2,2,    24.00,2,   -999.0,9,   2358.9,4,   1.3190
  06AQ20071128,   A12,   317,  1,     24,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.3,   0.1200,  34.6620,2,    225.2,2,    32.90,2,   2262.1,2,   2360.6,2,   0.0100
  06AQ20071128,   A12,   317,  1,     23,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.2,   0.1200,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0100
  06AQ20071128,   A12,   317,  1,     22,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.2,   0.1210,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0110
  06AQ20071128,   A12,   317,  1,     21,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1210,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0110
  06AQ20071128,   A12,   317,  1,     20,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1220,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0120
  06AQ20071128,   A12,   317,  1,     19,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1220,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0120
  06AQ20071128,   A12,   317,  1,     18,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1220,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0120
  06AQ20071128,   A12,   317,  1,     17,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1220,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0120
  06AQ20071128,   A12,   317,  1,     16,2,    -999,   0,-70.0660,  -3.4110, 2479,   2037.1,   0.1210,  34.6620,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.0110
  06AQ20071128,   A12,   317,  1,     15,2,    -999,   0,-70.0660,  -3.4110, 2479,   2000.2,   0.1320,  34.6620,2,    222.0,2,    33.60,2,   2264.4,2,   2361.0,2,   0.0240
  06AQ20071128,   A12,   317,  1,     14,2,    -999,   0,-70.0660,  -3.4110, 2479,   1499.9,   0.3250,  34.6680,2,    221.2,2,    33.90,2,   2262.6,2,   2362.6,2,   0.2480
  06AQ20071128,   A12,   317,  1,     13,2,    -999,   0,-70.0660,  -3.4110, 2479,    999.9,   0.5370,  34.6680,2,    217.4,2,    33.90,2,   2260.6,2,   2361.4,2,   0.4880
  06AQ20071128,   A12,   317,  1,     12,2,    -999,   0,-70.0660,  -3.4110, 2479,    500.6,  -1.7150,  34.3790,2,    313.7,2,    31.80,2,   2224.3,2,   2332.2,2,  -1.7270
  06AQ20071128,   A12,   317,  1,     11,2,    -999,   0,-70.0660,  -3.4110, 2479,    350.2,  -1.8260,  34.3520,2,    326.2,2,    31.70,2,   2219.4,2,   2332.7,2,  -1.8340
  06AQ20071128,   A12,   317,  1,     10,2,    -999,   0,-70.0660,  -3.4110, 2479,    249.9,  -1.8350,  34.3440,2,    326.5,2,    32.00,2,   2221.1,2,   2329.5,2,  -1.8400
  06AQ20071128,   A12,   317,  1,      9,2,    -999,   0,-70.0660,  -3.4110, 2479,    200.0,  -1.8410,  34.3340,2,    326.4,2,    32.00,2,   2217.4,2,   2331.7,2,  -1.8450
  06AQ20071128,   A12,   317,  1,      8,2,    -999,   0,-70.0660,  -3.4110, 2479,    159.9,  -1.8430,  34.3240,2,    327.9,2,    31.60,2,   2219.3,2,   2328.1,2,  -1.8460
