EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,CCL4,CCL4_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,PMOL/KG,,DEG C
74DI20040404,        A05,       1,          1,         10,2,20040404,       0000,    26.4783,   -79.0100,        716,   704.1,-999.0000,-999.0000,9,  35.3320,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.910,2,   0.483,2,   0.011,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.292,2,-999.0000
74DI20040404,        A05,       1,          1,         11,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.9,-999.0000,-999.0000,9,  35.3300,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.904,2,   0.454,2,   0.010,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.301,2,-999.0000
74DI20040404,        A05,       1,          1,         12,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.7,-999.0000,-999.0000,9,  35.3280,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.899,2,   0.467,2,   0.007,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.323,2,-999.0000
74DI20040404,        A05,       1,          1,         13,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.5,-999.0000,-999.0000,9,  35.3280,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.906,2,   0.489,2,   0.007,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.303,2,-999.0000
74DI20040404,        A05,       1,          1,         14,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.3,-999.0000,-999.0000,9,  35.3290,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   0.893,2,   0.523,2,   0.014,2,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   0.301,2,-999.0000
74DI20040404,        A05,       1,          1,         15,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.2,-999.0000,-999.0000,9,-999.0000,9,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         16,2,20040404,       0000,    26.4783,   -79.0100,        716,   703.0,-999.0000,-999.0000,9,  35.3330,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         17,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.8,-999.0000,-999.0000,9,  35.3320,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         18,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.4,-999.0000,-999.0000,9,-999.0000,9,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         19,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.1,-999.0000,-999.0000,9,  35.3240,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
