EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  06MT19990711,   401,  1,     12,2,19990712,0000, 50.9483, -51.9680,  219,    100.5,  -0.2580,  33.5080,2,    316.0,2,     4.25,2,     9.33,2,     0.03, 2,     0.90,2, -999.000,9, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,  -0.2612
  06MT19990711,   401,  1,     13,2,19990712,0000, 50.9483, -51.9680,  219,    101.0,  -0.2580,  33.5080,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    6.467,9,    3.425,2,   -999.0,9,-999.0000,9,  -999.00,  -0.2612
  06MT19990711,   401,  1,     14,2,19990712,0000, 50.9483, -51.9680,  219,     60.4,  -0.5910,  33.0230,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,9, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,  -0.5927
  06MT19990711,   401,  1,     15,2,19990712,0000, 50.9483, -51.9680,  219,     60.2,  -0.5910,  33.0230,2,    343.5,2,     3.41,2,     5.04,2,     0.05, 2,     0.78,2, -999.000,9, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,  -0.5927
  06MT19990711,   401,  1,     16,2,19990712,0000, 50.9483, -51.9680,  219,     60.5,  -0.5910,  33.0230,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    6.931,9,    3.665,2,   -999.0,9,-999.0000,9,  -999.00,  -0.5927
  06MT19990711,   401,  1,     17,2,19990712,0000, 50.9483, -51.9680,  219,     60.6,  -0.5910,  33.0230,2,    344.0,2,     3.45,2,     5.03,2,     0.05, 2,     0.76,2, -999.000,9, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,  -0.5927
  06MT19990711,   401,  1,     18,2,19990712,0000, 50.9483, -51.9680,  219,     60.2,  -0.5910,  33.0230,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,9, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,  -0.5927
  06MT19990711,   401,  1,     19,2,19990712,0000, 50.9483, -51.9680,  219,     10.4,   7.4410,  32.6480,2,    311.1,2,     0.55,2,     0.00,2,     0.00, 2,     0.30,2, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   7.4400
  06MT19990711,   401,  1,     20,2,19990712,0000, 50.9483, -51.9680,  219,     10.2,   7.4410,  32.6480,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    5.110,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   7.4401
  06MT19990711,   401,  1,     21,2,19990712,0000, 50.9483, -51.9680,  219,     10.4,   7.4410,  32.6480,2,    306.6,2,     0.56,2,     0.01,2,     0.00, 2,     0.31,2, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   7.4400
