BOTTLE,20100505WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20070418
#original HYD file: i05_74AB20020301hy.txt   Fri Mar  9 11:29:46 2007
#original SUM file: i05_74AB20020301su.txt   Tue Apr 17 11:43:05 2007
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,PH_TMP,HELIER,TRITER,NEONER
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,NMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,NMOL/KG,TU,NMOL/KG
  74AB20020301,   I05,   001,  1, 158759, 158759,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4196,  34.7656,2,-999.0000,9,    216.3,2,  1.1717,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.024,6,    0.020,6,    0.003,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158760, 158760,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4194,  34.7656,2,-999.0000,9,    216.3,2,  1.1715,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.032,6,    0.027,6,    0.004,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158761, 158761,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4191,  34.7656,2,-999.0000,9,    216.3,2,  1.1712,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.024,6,    0.024,6,   -0.005,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158762, 158762,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4189,  34.7655,2,-999.0000,9,    216.3,2,  1.1710,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158767, 158767,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4190,  34.7655,2,-999.0000,9,    216.2,2,  1.1711,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.041,6,    0.029,6,    0.621,4, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158768, 158768,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4191,  34.7655,2,-999.0000,9,    216.1,2,  1.1712,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.029,6,    0.024,6,    0.435,4, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158769, 158769,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4192,  34.7656,2,-999.0000,9,    216.1,2,  1.1713,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.029,6,    0.026,6,   -0.002,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158770, 158770,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4194,  34.7656,2,-999.0000,9,    216.1,2,  1.1715,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.018,6,    0.028,6,    0.000,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158755, 158755,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.1,   1.4189,  34.7655,2,  34.7657,2,    216.2,2,  1.1710,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158796, 158796,2,20020302,1149,-30.6345,  33.4047, 3038,      1.8,  26.6240,  35.6106,2,  35.6107,2,    204.5,2, 26.6236,   -999.0,9,     2.15,2,     0.00,2,     0.08,2,    1.688,2,    1.056,2,    0.302,4,    1.951,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2330.5,2,   8.1318,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158795, 158795,2,20020302,1149,-30.6345,  33.4047, 3038,     22.4,  26.3981,  35.5936,2,  35.5950,2,    206.0,2, 26.3930,   -999.0,9,     2.05,2,     0.00,2,     0.05,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2329.3,2,   8.1127,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158794, 158794,2,20020302,1149,-30.6345,  33.4047, 3038,     52.6,  25.3428,  35.4250,2,  35.4318,2,    212.3,2, 25.3313,   -999.0,9,     2.24,2,     0.00,2,     0.09,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2320.0,2,   8.0975,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158793, 158793,2,20020302,1149,-30.6345,  33.4047, 3038,    101.8,  21.4038,  35.5345,2,  35.5334,2,    195.3,2, 21.3840,    194.9,2,     3.03,2,     1.27,2,     0.24,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2326.5,2,   8.0255,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158792, 158792,2,20020302,1149,-30.6345,  33.4047, 3038,    200.6,  18.3341,  35.6576,2,  35.6591,2,    192.5,2, 18.2991,    193.4,2,     4.00,2,     4.29,2,     0.39,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2335.1,2,   7.9771,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158791, 158791,2,20020302,1149,-30.6345,  33.4047, 3038,    300.7,  16.0963,  35.5667,2,  35.5659,2,    208.3,2, 16.0482,    207.1,2,     3.61,2,     5.27,2,     0.49,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2330.3,2,   7.9462,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158790, 158790,2,20020302,1149,-30.6345,  33.4047, 3038,    400.1,  14.0915,  35.3776,2,  35.3764,2,    211.5,2, 14.0328,    210.6,2,     4.29,2,     7.91,2,     0.62,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2322.6,2,   7.8952,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158789, 158789,2,20020302,1149,-30.6345,  33.4047, 3038,    500.0,  12.9181,  35.2262,2,  35.2262,3,    217.8,2, 12.8487,    219.8,2,     4.49,2,     9.76,2,     0.70,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2315.3,2,   7.8771,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158788, 158788,2,20020302,1149,-30.6345,  33.4047, 3038,    599.9,  11.7170,  35.0519,2,-999.0000,9,    221.0,2, 11.6386,    221.2,2,     4.88,2,    11.91,2,     0.82,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2307.2,2,   7.8580,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158787, 158787,2,20020302,1149,-30.6345,  33.4047, 3038,    699.9,  10.6662,  34.9032,2,  34.9044,2,    211.4,2, 10.5797,    210.9,2,     4.88,2,    15.11,2,     1.12,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2302.2,2,   7.8124,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158786, 158786,2,20020302,1149,-30.6345,  33.4047, 3038,    799.5,   9.4103,  34.7457,2,  34.7469,2,    207.8,2,  9.3184,    207.4,2,     7.62,2,    18.53,2,     1.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2296.1,2,   7.7786,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158785, 158785,2,20020302,1149,-30.6345,  33.4047, 3038,    999.5,   7.0787,  34.5832,2,  34.5830,2,    177.0,2,  6.9798,    176.8,2,    27.35,2,    29.86,2,     2.02,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2302.7,2,   7.6648,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158784, 158784,2,20020302,1149,-30.6345,  33.4047, 3038,   1197.3,   5.4389,  34.5790,2,  34.5759,2,    154.3,2,  5.3334,    153.4,2,    48.64,2,    34.64,2,     2.35,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2322.0,2,   7.6103,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158783, 158783,2,20020302,1149,-30.6345,  33.4047, 3038,   1396.8,   4.1316,  34.5811,2,  34.5796,2,    156.9,2,  4.0202,    156.3,2,    62.21,2,    35.30,2,     2.44,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2332.6,2,   7.5910,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158782, 158782,2,20020302,1149,-30.6345,  33.4047, 3038,   1599.8,   3.4892,  34.6489,2,  34.6472,2,    156.9,2,  3.3668,    156.4,2,    72.85,2,    35.11,2,     2.41,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2346.0,2,   7.5896,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158781, 158781,2,20020302,1149,-30.6345,  33.4047, 3038,   1801.1,   3.0053,  34.7074,2,  34.7074,2,    166.3,2,  2.8712,    166.8,2,    78.32,2,    33.93,2,     2.36,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2352.9,2,   7.6054,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158780, 158780,2,20020302,1149,-30.6345,  33.4047, 3038,   2001.0,   2.7050,  34.7475,2,  34.7463,2,    181.8,2,  2.5574,    183.3,2,    74.12,2,    32.08,2,     2.18,2,    0.018,2,    0.015,2,   -0.005,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2351.0,2,   7.6267,2,   25.00,-999.0000,-999.000,-999.000
