EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  740H20090203,  SR01,     1,  1,     15,     15,2,20090205,1622,-57.1300, -68.2500, 4482,    879.4,   3.8868,  34.2521,2,  34.2530,2,    216.8,    220.0,   2,    28.90,2,    31.77,2,     2.09,2,   2189.2,2,   2302.1,6
  740H20090203,  SR01,     1,  1,     16,     16,2,20090205,1622,-57.1300, -68.2500, 4482,    753.7,   4.0312,  34.1916,2,  34.1938,2,    244.1,    247.1,   2,    20.58,2,    29.39,2,     1.97,2,   2169.7,2,   -999.0,6
  740H20090203,  SR01,     1,  1,     17,     17,2,20090205,1622,-57.1300, -68.2500, 4482,    628.0,   4.4723,  34.1799,2,  34.1920,2,    262.3,    264.9,   2,    14.51,2,    26.86,2,     1.80,2,   2150.6,2,   -999.0,6
  740H20090203,  SR01,     1,  1,     18,     18,2,20090205,1622,-57.1300, -68.2500, 4482,    503.0,   4.7968,  34.1775,2,  34.1795,2,    274.8,    279.1,   2,    10.94,2,    24.65,2,     1.64,2,   2139.0,2,   2280.4,6
  740H20090203,  SR01,     1,  1,     19,     19,2,20090205,1622,-57.1300, -68.2500, 4482,    377.5,   4.9371,  34.1660,2,  34.1673,2,    277.8,    281.1,   2,     9.64,2,    24.05,2,     1.60,2,   2137.7,2,   2277.0,6
  740H20090203,  SR01,     1,  1,     20,     20,2,20090205,1622,-57.1300, -68.2500, 4482,    252.8,   5.0615,  34.1442,2,  34.1469,2,    281.6,    283.1,   2,     8.55,2,    23.48,2,     1.61,2,   2132.4,2,   2272.7,6
  740H20090203,  SR01,     1,  1,     21,     21,2,20090205,1622,-57.1300, -68.2500, 4482,    177.7,   5.3563,  34.1152,2,  34.1184,2,    281.4,    284.3,   2,     7.56,2,    23.09,2,     1.55,2,   2128.0,2,   -999.0,6
  740H20090203,  SR01,     1,  1,     22,     22,2,20090205,1622,-57.1300, -68.2500, 4482,    103.4,   6.3151,  34.0838,2,  34.0847,2,    283.0,    284.3,   2,     3.72,2,    20.19,2,     1.44,2,   2115.0,2,   2273.7,6
  740H20090203,  SR01,     1,  1,     23,     23,2,20090205,1622,-57.1300, -68.2500, 4482,     53.4,   6.7970,  34.0683,2,  34.0712,2,    288.3,    288.2,   2,     2.02,2,    18.78,2,     1.33,2,   2110.3,2,   2273.6,6
  740H20090203,  SR01,     1,  1,     24,     24,2,20090205,1622,-57.1300, -68.2500, 4482,      4.9,   7.0360,  34.0419,2,  34.0462,2,    288.7,    290.2,   2,     1.81,2,    18.52,2,     1.31,2,   2109.0,2,   2272.0,6
  740H20090203,  SR01,     2,  1,      1,      1,2,20090206,0115,-56.3300, -67.9900,  104,     93.5,   7.9723,  33.7893,2,  33.7883,2,    277.6,    277.1,   2,     3.33,2,    14.52,2,     1.14,2,   2077.9,2,   2257.6,6
  740H20090203,  SR01,     2,  1,      2,      2,9,20090206,0115,-56.3300, -67.9900,  104,     93.7,   7.9742,  33.7886,2,-999.0000,9,    277.8,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,      3,      3,9,20090206,0115,-56.3300, -67.9900,  104,     93.9,   7.9703,  33.7896,2,-999.0000,9,    277.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,      5,      5,2,20090206,0115,-56.3300, -67.9900,  104,     75.5,   8.2417,  33.7070,2,  33.7128,2,    281.2,    280.5,   2,     2.65,2,    13.24,2,     1.05,2,   2065.9,2,   2251.1,6
  740H20090203,  SR01,     2,  1,      6,      6,9,20090206,0115,-56.3300, -67.9900,  104,     75.9,   8.2431,  33.7066,2,-999.0000,9,    281.2,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,      7,      7,9,20090206,0115,-56.3300, -67.9900,  104,     76.2,   8.2423,  33.7071,2,-999.0000,9,    281.4,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,      8,      8,9,20090206,0115,-56.3300, -67.9900,  104,     76.1,   8.2413,  33.7074,2,-999.0000,9,    281.1,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,      9,      9,9,20090206,0115,-56.3300, -67.9900,  104,     75.7,   8.2410,  33.7074,2,-999.0000,9,    281.1,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     10,     10,9,20090206,0115,-56.3300, -67.9900,  104,     75.2,   8.2407,  33.7076,2,-999.0000,9,    281.3,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     11,     11,9,20090206,0115,-56.3300, -67.9900,  104,     76.0,   8.2401,  33.7076,2,-999.0000,9,    280.9,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     12,     12,9,20090206,0115,-56.3300, -67.9900,  104,     75.7,   8.2397,  33.7078,2,-999.0000,9,    280.9,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     14,     14,2,20090206,0115,-56.3300, -67.9900,  104,     50.8,   8.4806,  33.6203,2,  33.6165,2,    285.1,    285.0,   2,     2.25,2,    11.51,2,     0.89,2,   2050.4,2,   2253.4,6
  740H20090203,  SR01,     2,  1,     15,     15,9,20090206,0115,-56.3300, -67.9900,  104,     50.7,   8.4773,  33.6220,2,-999.0000,9,    285.0,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     16,     16,9,20090206,0115,-56.3300, -67.9900,  104,     51.1,   8.4752,  33.6231,2,-999.0000,9,    284.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     18,     18,2,20090206,0115,-56.3300, -67.9900,  104,     25.8,   8.7434,  33.4648,2,  33.4657,2,    288.5,    288.3,   2,     1.96,2,     9.52,2,     0.74,2,   2033.9,2,   2227.8,6
  740H20090203,  SR01,     2,  1,     19,     19,9,20090206,0115,-56.3300, -67.9900,  104,     25.8,   8.7439,  33.4647,2,-999.0000,9,    288.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     20,     20,9,20090206,0115,-56.3300, -67.9900,  104,     26.0,   8.7438,  33.4647,2,-999.0000,9,    288.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     22,     22,2,20090206,0115,-56.3300, -67.9900,  104,      5.4,   9.0076,  33.1745,2,  33.1794,2,    290.4,    290.2,   2,     1.86,2,     7.92,2,     0.72,2,   2008.3,2,   2220.2,6
  740H20090203,  SR01,     2,  1,     23,     23,9,20090206,0115,-56.3300, -67.9900,  104,      5.7,   9.0059,  33.1765,2,-999.0000,9,    290.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     2,  1,     24,     24,2,20090206,0115,-56.3300, -67.9900,  104,      5.8,   9.0092,  33.1729,2,-999.0000,9,    291.0,     24.0,   4,     1.76,2,     7.49,2,     0.68,2,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      1,      1,2,20090206,0533,-56.7999, -68.1900,  319,    308.6,   5.0918,  34.1434,2,  34.1436,2,    281.9,    281.8,   2,     9.89,2,    23.44,2,     1.57,2,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      2,      2,9,20090206,0533,-56.7999, -68.1900,  319,    309.0,   5.0907,  34.1436,2,-999.0000,9,    282.1,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      4,      4,2,20090206,0533,-56.7999, -68.1900,  319,    253.8,   5.1788,  34.1325,2,  34.1323,2,    281.9,    287.4,   2,     9.17,2,    23.40,2,     1.57,2,   2129.6,2,   -999.0,6
  740H20090203,  SR01,     3,  1,      5,      5,9,20090206,0533,-56.7999, -68.1900,  319,    253.8,   5.1926,  34.1308,2,-999.0000,9,    281.2,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      6,      6,2,20090206,0533,-56.7999, -68.1900,  319,    179.4,   5.6043,  34.0904,2,  34.0915,2,    278.0,    277.2,   2,     7.68,2,    22.85,2,     1.55,2,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      7,      7,9,20090206,0533,-56.7999, -68.1900,  319,    178.9,   5.6428,  34.0886,2,-999.0000,9,    278.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,      9,      9,2,20090206,0533,-56.7999, -68.1900,  319,    101.8,   6.8919,  34.0568,2,  34.0570,2,    286.6,    287.6,   2,     2.29,2,    18.36,2,     1.32,2,   2102.7,2,   2273.0,6
  740H20090203,  SR01,     3,  1,     10,     10,9,20090206,0533,-56.7999, -68.1900,  319,    102.4,   6.8908,  34.0570,2,-999.0000,9,    286.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     12,     12,2,20090206,0533,-56.7999, -68.1900,  319,     76.2,   7.0803,  34.0001,2,  34.0024,2,    286.2,    284.9,   2,     1.95,2,    17.52,2,     1.27,2,   2096.2,2,   2268.9,6
  740H20090203,  SR01,     3,  1,     13,     13,9,20090206,0533,-56.7999, -68.1900,  319,     76.3,   7.0813,  34.0003,2,-999.0000,9,    286.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     14,     14,9,20090206,0533,-56.7999, -68.1900,  319,     75.9,   7.0815,  34.0003,2,-999.0000,9,    285.9,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     15,     15,9,20090206,0533,-56.7999, -68.1900,  319,     76.4,   7.0812,  34.0002,2,-999.0000,9,    286.3,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     16,     16,9,20090206,0533,-56.7999, -68.1900,  319,     76.1,   7.0815,  34.0005,2,-999.0000,9,    286.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     17,     17,9,20090206,0533,-56.7999, -68.1900,  319,     76.4,   7.0808,  34.0003,2,-999.0000,9,    286.1,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     19,     19,2,20090206,0533,-56.7999, -68.1900,  319,     51.2,   7.3097,  33.9667,2,  33.9661,2,    287.7,    287.6,   2,     1.86,2,    17.32,2,     1.22,2,   2090.8,2,   2264.8,6
  740H20090203,  SR01,     3,  1,     20,     20,9,20090206,0533,-56.7999, -68.1900,  319,     51.3,   7.3070,  33.9661,2,-999.0000,9,    287.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     21,     21,2,20090206,0533,-56.7999, -68.1900,  319,     26.1,   7.4289,  33.9335,2,  33.9355,2,    286.9,    285.9,   2,     1.86,2,    16.84,2,     1.21,2,   2087.6,2,   2257.7,6
  740H20090203,  SR01,     3,  1,     22,     22,9,20090206,0533,-56.7999, -68.1900,  319,     26.1,   7.4356,  33.9335,2,-999.0000,9,    287.0,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     3,  1,     23,     23,2,20090206,0533,-56.7999, -68.1900,  319,      6.7,   7.5704,  33.9218,2,  33.9223,2,    286.5,    286.3,   2,     1.93,2,    16.50,2,     1.19,2,   2084.9,2,   2261.1,6
  740H20090203,  SR01,     3,  1,     24,     24,2,20090206,0533,-56.7999, -68.1900,  319,      6.5,   7.5705,  33.9217,2,-999.0000,9,    286.9,    286.3,   2,     1.88,2,    16.61,2,     1.19,2,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,      1,      1,2,20090206,0731,-56.8501, -68.2100,  538,    528.3,   4.8061,  34.1666,2,  34.1697,2,    277.2,    279.3,   2,    11.37,2,    24.61,2,     1.64,2,   2141.0,2,   2276.0,6
  740H20090203,  SR01,     4,  1,      2,      2,2,20090206,0731,-56.8501, -68.2100,  538,    506.7,   4.8421,  34.1663,2,  34.1122,3,    277.7,    280.1,   2,     7.42,4,    22.04,4,     1.50,4,   -999.0,4,   2277.3,6
  740H20090203,  SR01,     4,  1,      3,      3,9,20090206,0731,-56.8501, -68.2100,  538,    506.2,   4.8465,  34.1664,2,-999.0000,9,    277.6,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,      4,      4,2,20090206,0731,-56.8501, -68.2100,  538,    376.3,   5.0311,  34.1582,2,  34.1604,2,    279.5,    280.3,   2,     8.85,2,    23.56,2,     1.57,2,   2134.5,2,   -999.0,9
  740H20090203,  SR01,     4,  1,      5,      5,9,20090206,0731,-56.8501, -68.2100,  538,    376.0,   5.0319,  34.1583,2,-999.0000,9,    279.2,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,      6,      6,2,20090206,0731,-56.8501, -68.2100,  538,    253.4,   5.2589,  34.1263,2,  34.1290,2,    277.8,    277.5,   2,     8.10,2,    23.28,2,     1.57,2,   2132.6,2,   2276.9,6
  740H20090203,  SR01,     4,  1,      7,      7,9,20090206,0731,-56.8501, -68.2100,  538,    252.7,   5.2630,  34.1253,2,-999.0000,9,    277.5,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,      8,      8,2,20090206,0731,-56.8501, -68.2100,  538,    178.3,   5.4756,  34.0995,2,  34.1008,2,    277.4,    276.6,   2,     7.66,2,    23.20,2,     1.58,2,   2130.0,2,   2271.2,6
  740H20090203,  SR01,     4,  1,      9,      9,9,20090206,0731,-56.8501, -68.2100,  538,    178.1,   5.4791,  34.0992,2,-999.0000,9,    277.3,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     10,     10,2,20090206,0731,-56.8501, -68.2100,  538,    101.4,   6.4900,  34.0785,2,  34.0787,2,    283.2,    282.9,   2,     3.13,2,    19.61,2,     1.41,2,   2111.9,2,   2270.8,6
  740H20090203,  SR01,     4,  1,     11,     11,9,20090206,0731,-56.8501, -68.2100,  538,    101.0,   6.4882,  34.0776,2,-999.0000,9,    282.8,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     12,     12,9,20090206,0731,-56.8501, -68.2100,  538,    100.9,   6.4895,  34.0780,2,-999.0000,9,    282.9,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
