EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  18HU20090517, AR07W,     8,  1, 351479,      3,2,20090518,1427, 50.6587, -50.6573,  372,    150.9,   2.8362,  34.5186,2,-999.0000,9,    338.4,3,    252.5,4,    12.16,3,    14.83,6,     1.03,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.8272
  18HU20090517, AR07W,     8,  1, 351480,      4,2,20090518,1427, 50.6587, -50.6573,  372,    101.6,   1.3477,  34.2076,2,-999.0000,9,    381.2,3,    322.6,6,     7.92,6,    12.10,6,     0.87,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.3430
  18HU20090517, AR07W,     8,  1, 351481,      5,2,20090518,1427, 50.6587, -50.6573,  372,     80.3,   1.1487,  34.0835,2,-999.0000,9,    388.1,3,    336.0,6,     7.35,6,    10.94,6,     0.80,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.1451
  18HU20090517, AR07W,     8,  1, 351482,      6,2,20090518,1427, 50.6587, -50.6573,  372,     60.7,   1.1642,  34.0478,2,-999.0000,9,    392.1,3,    336.1,6,     7.18,6,    10.60,6,     0.80,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.1615
  18HU20090517, AR07W,     8,  1, 351483,      7,2,20090518,1427, 50.6587, -50.6573,  372,     49.7,   0.8667,  33.9757,2,-999.0000,9,    393.0,3,   -999.0,9,     7.15,6,    10.43,6,     0.78,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8646
  18HU20090517, AR07W,     8,  1, 351484,      8,2,20090518,1427, 50.6587, -50.6573,  372,     40.4,   0.9083,  33.9060,2,-999.0000,9,    398.3,3,   -999.0,9,     6.88,6,     9.87,6,     0.76,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.9066
  18HU20090517, AR07W,     8,  1, 351485,      9,2,20090518,1427, 50.6587, -50.6573,  372,     30.9,   0.4962,  33.7300,2,-999.0000,9,    405.2,3,   -999.0,9,     6.65,6,     9.01,6,     0.73,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.4950
  18HU20090517, AR07W,     8,  1, 351486,     10,2,20090518,1427, 50.6587, -50.6573,  372,     30.6,   0.4788,  33.7014,2,-999.0000,9,    410.2,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.4776
  18HU20090517, AR07W,     8,  1, 351487,     11,2,20090518,1427, 50.6587, -50.6573,  372,     20.5,   0.8409,  33.3861,2,-999.0000,9,    448.5,3,   -999.0,9,     1.69,6,     1.21,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8401
  18HU20090517, AR07W,     8,  1, 351488,     12,2,20090518,1427, 50.6587, -50.6573,  372,     11.0,   0.8000,  33.2561,2,-999.0000,9,    462.7,3,   -999.0,9,     1.97,6,     0.58,6,     0.25,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.7996
  18HU20090517, AR07W,     8,  1, 351489,     13,2,20090518,1427, 50.6587, -50.6573,  372,      2.6,   0.8641,  33.1766,2,-999.0000,9,    463.8,3,   -999.0,9,     2.76,6,     0.51,6,     0.25,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8640
  18HU20090517, AR07W,     8,  1, 351490,     14,2,20090518,1427, 50.6587, -50.6573,  372,      2.4,   0.8739,  33.1758,2,-999.0000,9,    463.6,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8738
  18HU20090517, AR07W,    11,  1, 351491,      1,2,20090519,1149, 53.0037, -50.4003, 3412,    200.2,   3.5236,  34.7875,2,-999.0000,9,    361.1,3,    291.3,6,     7.75,6,    14.72,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5103
  18HU20090517, AR07W,    11,  1, 351492,      2,2,20090519,1149, 53.0037, -50.4003, 3412,    150.1,   3.4341,  34.7545,2,-999.0000,9,    365.2,3,    306.8,2,     7.53,6,    14.17,6,     0.95,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.4243
  18HU20090517, AR07W,    11,  1, 351493,      3,2,20090519,1149, 53.0037, -50.4003, 3412,    100.7,   3.3485,  34.7162,2,-999.0000,9,    375.4,3,    312.9,2,     7.13,6,    12.59,6,     0.89,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.3421
