BOTTLE,20161130CCHSIORJL
#Change EXPOCODE from 49MR99K05_2 to 49NZ199909_2
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change THETA units from ITS-90 to DEG C
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_2_sum.txt Fri Mar 16 17:26:12 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_2_sea.txt Mon Jul 02 17:33:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,DEG C,KG/M^3
   49NZ199909_2,   P1H,    13,  2,      3,      3,2,19990930,2042, 41.3707, 146.6763, 5496,   3000.0,2,   1.5280,2,  34.6630,1,  34.6627,2,  -999.00,9,   131.36,2,   156.67,2,    39.34,2,     0.01,2,     2.66,3,   2412.3,3,   2333.4,3,   -237.6,2,      2.8,   1.3106,  27.7531
   49NZ199909_2,   P1H,    13,  2,      2,      2,2,19990930,2042, 41.3707, 146.6763, 5496,   4000.2,2,   1.4660,2,  34.6811,1,  34.6802,2,  -999.00,9,   150.61,2,   149.70,2,    38.07,2,     0.01,2,     2.56,3,   2410.5,3,   2322.7,3,   -216.6,2,      2.8,   1.1480,  27.7784
   49NZ199909_2,   P1H,    13,  2,      1,      1,2,19990930,2042, 41.3707, 146.6763, 5496,   5581.8,2,   1.5628,2,  34.6915,1,  34.6891,2,  -999.00,9,   180.94,4,   143.79,2,    36.98,2,     0.01,2,     2.49,3,   2403.4,3,   2307.4,3,   -999.0,9,   -999.0,   1.0533,  27.7920
   49NZ199909_2,   P1H,    10,  1,      0,      0,9,19991001,0351, 41.8762, 146.3038, 6672,   -999.0,9,-999.0000,9,-999.0000,9,  32.8580,4,  -999.00,9,  -999.00,5,     2.67,3,     0.23,3,     0.04,3,     0.08,3,   2220.4,3,   1948.2,3,     -9.6,2,      5.4,-999.0000,-999.0000
   49NZ199909_2,   P1H,    10,  1,     16,     16,2,19991001,0351, 41.8762, 146.3038, 6672,      9.9,2,  17.7191,2,  32.8304,1,  32.8432,3,  -999.00,9,   253.06,2,     2.67,3,     0.22,3,     0.02,3,     0.10,3,   2227.0,3,   1951.0,3,      8.5,2,      3.6,  17.7175,  23.6902
   49NZ199909_2,   P1H,    10,  1,     15,     15,2,19991001,0351, 41.8762, 146.3038, 6672,     50.0,2,   3.8043,2,  33.0985,1,  33.1056,2,  -999.00,9,   307.74,2,    28.00,3,    19.92,2,     0.41,2,     1.69,3,   2239.3,3,   2112.3,3,    -20.5,2,      3.2,   3.8011,  26.2990
   49NZ199909_2,   P1H,    10,  1,     14,     14,2,19991001,0351, 41.8762, 146.3038, 6672,    100.4,2,   2.3268,2,  33.2296,1,  33.2362,2,  -999.00,9,  -999.00,9,    39.65,3,    23.94,2,     0.02,2,     1.82,3,   2240.6,3,   2138.6,3,    -27.2,2,      3.1,   2.3215,  26.5339
   49NZ199909_2,   P1H,    10,  1,     13,     13,2,19991001,0351, 41.8762, 146.3038, 6672,    200.4,2,   2.2343,2,  33.4740,1,  33.4715,3,  -999.00,9,   180.08,2,    66.92,3,    33.80,3,     0.01,3,     2.46,3,   2265.8,3,   2226.2,3,    -68.9,2,      3.3,   2.2236,  26.7299
   49NZ199909_2,   P1H,    10,  2,     12,     12,2,19991001,0531, 41.8722, 146.3003, 6655,    300.5,2,   3.1641,2,  33.7630,1,  33.7699,2,  -999.00,9,   104.43,2,    82.61,3,    38.77,2,     0.00,2,     2.76,3,   2286.5,3,   2272.8,3,    -97.8,2,      3.5,   3.1454,  26.8901
   49NZ199909_2,   P1H,    10,  2,     11,     11,2,19991001,0531, 41.8722, 146.3003, 6655,    400.1,2,   3.5547,2,  33.9907,1,  33.9959,2,  -999.00,9,    58.10,2,    98.67,3,    42.18,2,     0.00,2,     2.95,3,   2307.4,3,   2333.1,3,   -131.6,2,      2.4,   3.5280,  27.0344
