EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CTDFLUOR,CTDFLUOR_FLAG_W,SBE35,SBE35_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDXMISSCP,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,TRITUM,TRITUM_FLAG_W,TRITER,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
,,,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,MG/M^3,,ITS-90,,G/KG,,%TRANS,,/METER,MG/M^3,,UE/SQM/S,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,BQ/CUM,,BQ/M^3
49NZ20111220,        P10,      59,          1,         28,     X12J28,2,      12028,2,20111223,       2126,    19.1732,   149.3372,       5548,   529.6,2,   8.6507,2,  34.1747,2,  34.1744,2,   127.94,2,  127.40,2,   36.76,2,   25.82,2,    0.01,2,   1.888,2,   2.147,2,   1.098,2,   0.043,2,   0.538,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.013,2,   8.65264,2,     -999.0,9,     99.709,2,     0.0117,     -999.0,9,      0.000,2,       0.20,       0.11,       0.01,      0.015,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         27,     X12J27,2,      12027,2,20111223,       2126,    19.1732,   149.3372,       5548,   631.5,2,   6.3948,2,  34.1633,2,  34.1621,2,    82.14,2,   81.84,2,   62.37,2,   34.24,2,    0.01,2,   2.504,2,   1.107,6,   0.546,6,   0.024,2,   0.207,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.018,2,   6.39429,2,     -999.0,9,     99.717,2,     0.0113,     -999.0,9,      0.000,2,       0.26,       0.13,       0.01,      0.016,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         26,     X12J26,2,      12026,2,20111223,       2126,    19.1732,   149.3372,       5548,   729.7,2,   5.3623,2,  34.2608,2,  34.2595,2,    56.47,2,   56.46,2,   80.51,2,   38.46,2,    0.01,2,   2.818,2,   0.430,2,   0.210,2,   0.006,2,   0.067,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.020,2,   5.36252,2,     -999.0,9,     99.742,2,     0.0103,     -999.0,9,      0.000,2,       0.30,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         25,     X12J25,2,      12025,2,20111223,       2126,    19.1732,   149.3372,       5548,   830.4,2,   4.8853,2,  34.3781,2,  34.3774,2,    56.68,2,   56.74,2,   90.05,2,   39.42,2,    0.01,2,   2.868,2,   0.174,2,   0.082,2,   0.002,2,   0.030,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.020,2,   4.88545,2,     -999.0,9,     99.764,2,     0.0095,     -999.0,9,      0.000,2,       0.32,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         24,     X12J24,2,      12024,2,20111223,       2126,    19.1732,   149.3372,       5548,   928.8,2,   4.4099,2,  34.4499,2,  34.4492,2,    63.63,2,   63.61,2,   98.54,2,   39.67,2,    0.01,2,   2.860,2,   0.087,2,   0.042,2,   0.001,2,   0.019,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.019,2,   4.41017,2,     -999.0,9,     99.783,2,     0.0087,     -999.0,9,      0.000,2,       0.34,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         23,     X12J23,2,      12023,2,20111223,       2126,    19.1732,   149.3372,       5548,  1071.6,2,   3.8140,2,  34.5118,2,  34.5106,2,    76.28,2,   76.09,2,  109.49,2,   39.38,2,    0.01,2,   2.826,2,   0.051,2,   0.027,2,   0.001,2,   0.000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.018,2,   3.81411,2,     -999.0,9,     99.793,2,     0.0083,     -999.0,9,      0.000,2,       0.36,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         22,     X12J22,2,      12022,2,20111223,       2126,    19.1732,   149.3372,       5548,  1270.6,2,   3.1964,2,  34.5546,2,  34.5546,2,    87.59,2,   87.41,2,  120.34,2,   39.01,2,    0.01,2,   2.797,2,   0.037,2,   0.019,2,   0.000,2,   0.011,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.018,2,   3.19644,2,     -999.0,9,     99.818,2,     0.0073,     -999.0,9,      0.000,2,       0.37,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         21,     X12J21,2,      12021,2,20111223,       2126,    19.1732,   149.3372,       5548,  1471.8,2,   2.8243,2,  34.5737,2,  34.5731,2,    89.84,2,   89.51,2,  127.31,2,   39.38,2,    0.01,2,   2.814,2,   0.023,2,   0.015,2,   0.001,2,   0.008,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.017,2,   2.82387,2,     -999.0,9,     99.849,2,     0.0060,     -999.0,9,      0.000,2,       0.40,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         20,     X12J20,2,      12020,2,20111223,       2126,    19.1732,   149.3372,       5548,  1669.7,2,   2.5508,2,  34.5920,2,  34.5915,2,    95.69,2,   95.28,2,  132.10,2,   39.28,2,    0.01,2,   2.793,2,   0.009,2,   0.005,2,   0.000,2,   0.000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.017,2,   2.55080,2,     -999.0,9,     99.855,2,     0.0058,     -999.0,9,      0.000,2,       0.41,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         19,     X12J19,2,      12019,2,20111223,       2126,    19.1732,   149.3372,       5548,  1871.9,2,   2.2885,2,  34.6094,2,  34.6085,2,   101.55,2,  101.15,2,  137.08,2,   39.13,2,    0.01,2,   2.774,2,   0.008,2,   0.001,2,   0.000,2,   0.029,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.016,2,   2.28844,2,     -999.0,9,     99.868,2,     0.0053,     -999.0,9,      0.000,2,       0.42,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         18,     X12J18,2,      12018,2,20111223,       2126,    19.1732,   149.3372,       5548,  2069.8,2,   1.9964,2,  34.6286,2,  34.6281,2,   108.51,2,  108.14,2,  142.78,2,   38.85,2,    0.01,2,   2.741,2,-999.000,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.016,2,   1.99655,2,     -999.0,9,     99.886,2,     0.0046,     -999.0,9,      0.000,2,       0.43,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
49NZ20111220,        P10,      59,          1,         17,     X12J17,2,      12017,2,20111223,       2126,    19.1732,   149.3372,       5548,  2269.9,2,   1.8591,2,  34.6424,2,  34.6414,2,   115.10,2,  114.72,2,  144.68,2,   38.56,2,    0.01,2,   2.711,2,-999.000,5,-999.000,5,-999.000,5,-999.000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00, -999.00,9,  -999.0,  -999.0,9,  -999.0,   0.015,2,   1.85694,2,     -999.0,9,     99.886,2,     0.0046,     -999.0,9,      0.000,2,       0.44,       0.14,       0.01,      0.017,     -999.0,9,     -999.0,     -999.0,9,     -999.0,     -999.0,9,     -999.0
