EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,CTDXMISS,CTDXMISSCP,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,G/KG,,UMOL/KG,,UMOL/KG,,%TRANS,/METER,,MG/M^3,,MG/CUM,,UE/SQM/S,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,/MILLE,,/MILLE,/MILLE,,/MILLE,MBQ/KG,,MBQ/KG,MBQ/KG,,MBQ/KG
  49NZ20130106,  S04I,    88,  2,     28, X12J28,2,20130112,2018,-61.6202, 107.4453, 4291,    250.4,2,   1.7484,2,   1.74857,2,  34.5965,2,  34.5963,2,-999.0000,9,   183.00,2,   182.69,2,   99.694,   0.0123,2,    0.020,2,     0.01,2,    0.000,2,    77.31,2,     0.13,    33.91,2,     0.05,     0.01,2,     0.01,     2.34,2,     0.01,    0.996,2,    0.518,2,    0.072,2,    0.380,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     27, X12J27,2,20130112,2018,-61.6202, 107.4453, 4291,    329.9,2,   1.7876,2,   1.78754,2,  34.6468,2,  34.6467,2,-999.0000,9,   182.74,2,   182.40,2,   99.840,   0.0064,2,    0.010,2,  -999.00,9,    0.000,2,    79.72,2,     0.13,    33.19,2,     0.05,     0.01,2,     0.01,     2.29,2,     0.01,    0.758,2,    0.391,2,    0.062,2,    0.261,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     26, X12J26,2,20130112,2018,-61.6202, 107.4453, 4291,    432.4,2,   1.7971,2,   1.79695,2,  34.6839,2,  34.6834,2,-999.0000,9,   184.36,2,   184.24,2,   99.861,   0.0056,2,    0.010,2,  -999.00,9,    0.000,2,    81.70,2,     0.13,    32.48,2,     0.05,     0.01,2,     0.01,     2.23,2,     0.01,    0.595,2,    0.297,2,    0.044,2,    0.207,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     25, X12J25,2,20130112,2018,-61.6202, 107.4453, 4291,    530.5,2,   1.7908,2,   1.79088,2,  34.7102,2,  34.7097,2,-999.0000,9,   187.16,2,   186.81,2,   99.882,   0.0047,2,    0.010,2,  -999.00,9,    0.000,2,    83.59,2,     0.13,    31.94,2,     0.04,     0.01,2,     0.01,     2.20,2,     0.01,    0.455,2,    0.226,2,    0.032,2,    0.134,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     24, X12J24,2,20130112,2018,-61.6202, 107.4453, 4291,    631.0,2,   1.7433,2,   1.74336,2,  34.7255,2,  34.7251,2,-999.0000,9,   190.52,2,   190.20,2,   99.893,   0.0043,2,    0.010,2,  -999.00,9,    0.000,2,    85.35,2,     0.14,    31.50,2,     0.04,     0.01,2,     0.01,     2.17,2,     0.01,    0.376,6,    0.182,6,    0.025,6,    0.097,6,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     23, X12J23,2,20130112,2018,-61.6202, 107.4453, 4291,    730.1,2,   1.6863,2,   1.68642,2,  34.7334,2,  34.7333,2,-999.0000,9,   193.13,2,   192.85,2,   99.937,   0.0025,2,    0.010,2,  -999.00,9,    0.000,2,    87.02,2,     0.14,    31.21,2,     0.04,     0.01,2,     0.01,     2.15,2,     0.01,    0.320,2,    0.155,2,    0.019,2,    0.089,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     22, X12J22,2,20130112,2018,-61.6202, 107.4453, 4291,    829.8,2,   1.5763,2,   1.57664,2,  34.7330,2,  34.7328,2,-999.0000,9,   195.77,2,   195.51,2,   99.965,   0.0014,2,    0.010,2,  -999.00,9,    0.000,2,    89.10,2,     0.14,    31.15,2,     0.04,     0.01,2,     0.01,     2.15,2,     0.01,    0.339,2,    0.163,2,    0.023,2,    0.102,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     21, X12J21,2,20130112,2018,-61.6202, 107.4453, 4291,    930.2,2,   1.4913,2,   1.49141,2,  34.7349,2,  34.7348,2,-999.0000,9,   197.98,2,   197.67,2,   99.984,   0.0006,2,    0.000,2,  -999.00,9,    0.000,2,    91.33,2,     0.14,    31.08,2,     0.04,     0.01,2,     0.01,     2.15,2,     0.01,    0.306,2,    0.148,2,    0.016,2,    0.098,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     20, X12J20,2,20130112,2018,-61.6202, 107.4453, 4291,   1079.8,2,   1.3753,2,   1.37532,2,  34.7337,2,  34.7333,2,-999.0000,9,   200.16,2,   199.85,2,  100.011,  -0.0004,2,    0.000,2,  -999.00,9,    0.000,2,    94.69,2,     0.14,    31.13,2,     0.04,     0.00,2,     0.01,     2.15,2,     0.01,    0.284,2,    0.133,2,    0.014,2,    0.100,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     19, X12J19,2,20130112,2018,-61.6202, 107.4453, 4291,   1330.1,2,   1.1656,2,   1.16546,2,  34.7271,2,  34.7270,2,-999.0000,9,   202.75,2,   202.60,2,  100.031,  -0.0012,2,    0.000,2,  -999.00,9,    0.000,2,   101.26,2,     0.15,    31.39,2,     0.04,     0.00,2,     0.01,     2.18,2,     0.01,    0.250,6,    0.116,6,    0.011,6,    0.105,6,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
