BOTTLE,20130222PRINUNIVRMK
# 2/9/2012 Initialized README file  
# Data source: T.Tanhua 2/9/12; R.Steinfeldt 2/15/13 
# SHIP: Maria S. Merian 
# Cruise: MSM12_3 
# Region: NW Atlantic; Lab Sea and Irminger Sea. Similar area to A1W and AR07W 
# EXPOCODE: 06M220090714 
# DATES: 7/14 - 8/22/2009 
# Chief Scientist: M. Rhein 
# 89 stations with 24 place Rosette 
# Hydro: Who - ; Status -  final 
# 	Notes: 	Final salt and oxygen flag edits from R.Steinfeldt 2/15/13 
# 	Bottom depths approximated from global topography 
# Nuts: Who - F. Malien; Status - final 
# 	Notes: Not up to WOCE standards 
# 	Frozen, measured ashore 
# 	Silicate: probably about 10% too low 
# 	Nitrate - no systematic bias detected 
# 	Phosphate: no systematic bias detected 
# O2: Who - I.Stendardo; Status - final 
# 	Notes: 
# TCO2: Who - T.Tanhua; Status - final 
# 	Notes:  
# TA: Who - T.Tanhua; Status - final 
# 	Notes:  
# CFC: Who - M. Rhein; Status - no data yet 
# 	Notes:  SF6 also measured 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  06M220090714,  AR07,   659,  2,   2021,     21,2,20090716,1552, 61.1820, -32.4860, 2675,     98.4,   6.2786,  35.0613,2,-999.0000,9,    275.5,2,    275.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2020,     20,2,20090716,1552, 61.1820, -32.4860, 2675,    255.2,   5.4371,  35.0136,2,-999.0000,9,    276.6,2,    274.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2019,     19,2,20090716,1552, 61.1820, -32.4860, 2675,    390.7,   5.0654,  35.0004,2,-999.0000,9,    280.3,2,    282.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2018,     18,2,20090716,1552, 61.1820, -32.4860, 2675,    504.2,   4.6150,  34.9584,2,-999.0000,9,    278.0,2,    278.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2017,     17,2,20090716,1552, 61.1820, -32.4860, 2675,    649.1,   4.2848,  34.9353,2,-999.0000,9,    285.9,2,    286.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2016,     16,2,20090716,1552, 61.1820, -32.4860, 2675,    821.2,   4.0745,  34.9170,2,-999.0000,9,    288.1,2,    291.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2015,     15,2,20090716,1552, 61.1820, -32.4860, 2675,    955.9,   3.8841,  34.8993,2,-999.0000,9,    291.1,2,    289.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2014,     14,2,20090716,1552, 61.1820, -32.4860, 2675,   1098.6,   3.7245,  34.8908,2,-999.0000,9,    282.5,2,    281.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2013,     13,2,20090716,1552, 61.1820, -32.4860, 2675,   1255.7,   3.7114,  34.9111,2,  34.9107,2,    276.6,2,    276.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2012,     12,2,20090716,1552, 61.1820, -32.4860, 2675,   1400.6,   3.6875,  34.9248,2,-999.0000,9,    273.8,2,    274.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
