EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  18HU20100513, AR07W,     7,  1, 369124,      1,2,20100514,1147, 50.6273, -52.6372,  233,    201.0,   2.2338,  34.2734,2,-999.0000,9,    276.6,2,   -999.0,9,    11.88,6,    13.51,6,     1.07,6,     0.35,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   2.2228
  18HU20100513, AR07W,     7,  1, 369125,      2,2,20100514,1147, 50.6273, -52.6372,  233,    150.0,   1.8146,  34.0507,2,-999.0000,9,    294.4,2,   -999.0,9,     9.87,6,    11.39,6,     0.95,6,     0.45,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   1.8070
  18HU20100513, AR07W,     7,  1, 369126,      3,2,20100514,1147, 50.6273, -52.6372,  233,    100.0,   0.5203,  33.6584,2,-999.0000,9,    316.7,2,   -999.0,9,     8.23,6,     9.97,6,     0.90,6,      0.3,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   0.5164
  18HU20100513, AR07W,     7,  1, 369127,      4,2,20100514,1147, 50.6273, -52.6372,  233,     79.0,  -0.2272,  33.3934,2,-999.0000,9,    329.2,2,   -999.0,9,     7.85,6,     9.36,6,     0.90,6,     0.38,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -0.2297
  18HU20100513, AR07W,     7,  1, 369128,      5,2,20100514,1147, 50.6273, -52.6372,  233,     59.0,  -0.3297,  33.1475,2,-999.0000,9,    339.5,2,   -999.0,9,     5.14,6,     6.94,6,     0.83,6,     0.93,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -0.3315
  18HU20100513, AR07W,     7,  1, 369129,      6,2,20100514,1147, 50.6273, -52.6372,  233,     50.0,  -0.2526,  33.0614,2,-999.0000,9,    348.2,2,   -999.0,9,     2.79,6,     4.83,6,     0.72,6,     1.66,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -0.2541
  18HU20100513, AR07W,     7,  1, 369130,      7,2,20100514,1147, 50.6273, -52.6372,  233,     39.0,   0.0412,  33.0180,2,-999.0000,9,    360.2,2,   -999.0,9,     1.70,6,     3.05,6,     0.62,6,     1.48,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   0.0399
  18HU20100513, AR07W,     7,  1, 369131,      8,2,20100514,1147, 50.6273, -52.6372,  233,     29.0,   1.3134,  32.8022,2,-999.0000,9,    358.6,2,   -999.0,9,     0.77,6,     1.27,6,     0.51,6,     1.32,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   1.3122
  18HU20100513, AR07W,     7,  1, 369132,      9,2,20100514,1147, 50.6273, -52.6372,  233,     20.0,   1.3758,  32.7960,2,-999.0000,9,    357.9,2,   -999.0,9,     0.59,6,     0.54,6,     0.45,6,     1.06,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   1.3749
  18HU20100513, AR07W,     7,  1, 369133,     10,2,20100514,1147, 50.6273, -52.6372,  233,     10.0,   1.3859,  32.7888,2,-999.0000,9,    357.9,2,   -999.0,9,     0.52,6,     0.51,6,     0.44,6,     0.98,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   1.3855
