,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
0,  29HE20010305,   A17,1.0,1.0,1.0,20010308.0,-48.3502,-55.6807, 5044,   2247.0,   1.7508,  34.6904,2.0,    194.5,2.0,    91.08,2.0,    26.23,2.0,     0.02,2.0,     1.80,2.0,   2357.3,2.0,7.6069,    25.00,2.0,   1.5972
1,  29HE20010305,   A17,1.0,1.0,2.0,20010308.0,-48.3502,-55.6807, 5044,   2246.0,   1.7507,  34.6920,2.0,    193.0,2.0,    94.45,2.0,    30.74,2.0,     0.12,2.0,     2.04,2.0,   2359.1,2.0,7.591,    25.00,2.0,   1.5972
2,  29HE20010305,   A17,1.0,1.0,3.0,20010308.0,-48.3502,-55.6807, 5044,   1999.0,   1.7492,  34.6869,2.0,    185.6,2.0,    96.84,2.0,    34.18,2.0,     0.02,2.0,     2.15,2.0,   2357.1,2.0,7.5895,    25.00,2.0,   1.6165
3,  29HE20010305,   A17,1.0,1.0,4.0,20010308.0,-48.3502,-55.6807, 5044,   1797.0,   1.9581,  34.6857,2.0,    181.4,2.0,    83.22,2.0,    29.26,2.0,     0.21,2.0,     1.98,2.0,   2355.2,2.0,7.5866,    25.00,2.0,   1.8388
4,  29HE20010305,   A17,1.0,1.0,5.0,20010308.0,-48.3502,-55.6807, 5044,   1602.0,   2.1218,  34.6587,2.0,    181.3,2.0,    81.71,2.0,    29.44,2.0,     0.07,2.0,     2.10,2.0,   2350.4,2.0,7.5776,    25.00,2.0,   2.0159
5,  29HE20010305,   A17,1.0,1.0,6.0,20010308.0,-48.3502,-55.6807, 5044,   1402.0,   2.2310,  34.6257,2.0,    182.1,2.0,    81.75,2.0,    29.42,2.0,     0.24,2.0,     2.08,2.0,   2347.6,2.0,7.568,    25.00,2.0,   2.1395
6,  29HE20010305,   A17,1.0,1.0,7.0,20010308.0,-48.3502,-55.6807, 5044,   1199.0,   2.3296,  34.5821,2.0,    177.7,2.0,    66.55,2.0,    29.00,2.0,     0.11,2.0,     2.01,2.0,   2339.4,2.0,7.5538,    25.00,2.0,   2.2524
7,  29HE20010305,   A17,1.0,1.0,8.0,20010308.0,-48.3502,-55.6807, 5044,   1199.0,   2.3296,  34.5821,2.0,    177.5,2.0,    78.39,2.0,    29.56,2.0,     0.17,2.0,     2.14,2.0,   2338.3,2.0,7.5589,    25.00,2.0,   2.2524
8,  29HE20010305,   A17,1.0,1.0,9.0,20010308.0,-48.3502,-55.6807, 5044,    999.0,   2.4923,  34.5206,2.0,    182.0,2.0,    63.06,2.0,    28.93,2.0,     0.05,2.0,     2.02,2.0,   2334.1,2.0,7.555,    25.00,2.0,   2.4284
9,  29HE20010305,   A17,1.0,1.0,10.0,20010308.0,-48.3502,-55.6807, 5044,    799.0,   2.6068,  34.4312,2.0,    193.1,2.0,    59.41,2.0,    33.66,2.0,     0.33,2.0,     2.26,2.0,   2328.6,2.0,7.5631,    25.00,2.0,   2.5564
