,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,XMISS,XMISS_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
191,  09AR20120105,  I09S,8.0,1.0,1.0,1.0,2.0,20120120.0,1159.0,-65.3737,112.921,  704,     25.8,  -1.5774,  33.5200,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    88.47,2.0,    4.767,2.0,    1.950,2.0
192,  09AR20120105,  I09S,9.0,1.0,24.0,24.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,      5.3,  -1.4735,  33.2725,2.0,  33.2803,2.0,    354.9,2.0,    355.5,2.0,    58.40,2.0,    24.93,2.0,     1.66,2.0,    90.66,2.0,    2.407,2.0,    2.613,2.0
193,  09AR20120105,  I09S,9.0,1.0,23.0,23.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,      5.3,  -1.4781,  33.2762,2.0,-999.0000,9.0,    354.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    90.72,2.0,    2.342,2.0,    2.636,2.0
194,  09AR20120105,  I09S,9.0,1.0,22.0,22.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,      5.2,  -1.4781,  33.2747,2.0,-999.0000,9.0,    354.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    90.70,2.0,    2.660,2.0,    2.687,2.0
195,  09AR20120105,  I09S,9.0,1.0,21.0,21.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,      5.2,  -1.4671,  33.2638,2.0,-999.0000,9.0,    354.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    90.63,2.0,    2.455,2.0,    2.696,2.0
196,  09AR20120105,  I09S,9.0,1.0,20.0,20.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     20.0,  -1.4912,  33.3719,2.0,  33.3652,2.0,    351.4,2.0,    352.6,2.0,    59.10,2.0,    25.22,2.0,     1.68,2.0,    90.99,2.0,    2.671,2.0,    0.490,2.0
197,  09AR20120105,  I09S,9.0,1.0,19.0,19.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     20.0,  -1.4914,  33.3717,2.0,-999.0000,9.0,    351.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    91.13,2.0,    2.748,2.0,    0.500,2.0
198,  09AR20120105,  I09S,9.0,1.0,18.0,18.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     20.0,  -1.4919,  33.3724,2.0,-999.0000,9.0,    351.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    90.93,2.0,    3.341,2.0,    0.504,2.0
199,  09AR20120105,  I09S,9.0,1.0,17.0,17.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     24.0,  -1.4939,  33.3773,2.0,-999.0000,9.0,    348.7,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    91.11,2.0,    2.699,2.0,    0.336,2.0
200,  09AR20120105,  I09S,9.0,1.0,16.0,16.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     28.6,  -1.6212,  33.7749,2.0,  33.7439,2.0,    345.7,2.0,    337.6,2.0,    63.30,2.0,    26.62,2.0,     1.81,2.0,    90.51,2.0,    4.255,2.0,    0.198,2.0
201,  09AR20120105,  I09S,9.0,1.0,15.0,15.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     49.8,  -1.7186,  34.1695,2.0,  34.1777,2.0,    306.2,2.0,    301.3,2.0,    70.00,2.0,    30.22,2.0,     2.08,2.0,    96.74,2.0,    0.994,2.0,    0.000,2.0
202,  09AR20120105,  I09S,9.0,1.0,14.0,14.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,     75.0,  -1.7412,  34.2066,2.0,  34.2054,2.0,    300.4,2.0,    303.2,2.0,    68.20,2.0,    30.16,2.0,     2.08,2.0,    96.74,2.0,    0.629,2.0,    0.000,2.0
203,  09AR20120105,  I09S,9.0,1.0,13.0,13.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    100.9,  -1.7430,  34.2356,2.0,  34.2354,2.0,    300.5,2.0,    300.3,2.0,    66.30,2.0,    30.23,2.0,     2.08,2.0,    96.75,2.0,    0.321,2.0,    0.000,2.0
204,  09AR20120105,  I09S,9.0,1.0,12.0,12.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    199.1,  -1.8062,  34.2762,2.0,  34.2762,2.0,    302.6,2.0,    302.8,2.0,    64.80,2.0,    30.69,2.0,     2.10,2.0,    96.77,2.0,   -0.081,2.0,    0.000,2.0
205,  09AR20120105,  I09S,9.0,1.0,11.0,11.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    299.6,  -1.7792,  34.3063,2.0,  34.3064,2.0,    306.7,2.0,    308.1,2.0,    63.80,2.0,    30.69,2.0,     2.08,2.0,    96.91,2.0,   -0.163,2.0,    0.000,2.0
206,  09AR20120105,  I09S,9.0,1.0,10.0,10.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    350.4,  -1.5175,  34.3467,2.0,  34.3468,2.0,    298.5,2.0,    296.8,2.0,    67.10,2.0,    30.98,2.0,     2.12,2.0,    97.07,2.0,   -0.170,2.0,    0.000,2.0
207,  09AR20120105,  I09S,9.0,1.0,9.0,9.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    400.1,  -0.7172,  34.4525,2.0,  34.4540,2.0,    266.4,2.0,    264.3,2.0,    76.10,2.0,    31.60,2.0,     2.17,2.0,    97.22,2.0,   -0.174,2.0,    0.000,2.0
208,  09AR20120105,  I09S,9.0,1.0,8.0,8.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    449.5,   0.4795,  34.6272,2.0,  34.6266,2.0,    232.0,2.0,    221.0,2.0,    92.70,2.0,    32.07,2.0,     2.21,2.0,    97.29,2.0,   -0.167,2.0,    0.000,2.0
209,  09AR20120105,  I09S,9.0,1.0,7.0,7.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    500.6,   0.7295,  34.6679,2.0,-999.0000,9.0,    213.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.30,2.0,   -0.168,2.0,    0.000,2.0
210,  09AR20120105,  I09S,9.0,1.0,6.0,6.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    500.6,   0.7315,  34.6686,2.0,-999.0000,9.0,    213.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.30,2.0,   -0.173,2.0,    0.000,2.0
211,  09AR20120105,  I09S,9.0,1.0,5.0,5.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    500.6,   0.7328,  34.6695,2.0,-999.0000,9.0,    213.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.30,2.0,   -0.174,2.0,    0.000,2.0
212,  09AR20120105,  I09S,9.0,1.0,4.0,4.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    500.6,   0.7320,  34.6702,2.0,  34.6694,2.0,    213.2,2.0,    212.7,2.0,    97.80,2.0,    32.04,2.0,     2.21,2.0,    97.29,2.0,   -0.169,2.0,    0.000,2.0
213,  09AR20120105,  I09S,9.0,1.0,3.0,3.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    549.8,   0.7078,  34.6728,2.0,  34.6730,2.0,    212.0,2.0,    212.8,2.0,    98.90,2.0,    32.02,2.0,     2.20,2.0,    97.29,2.0,   -0.195,2.0,    0.000,2.0
214,  09AR20120105,  I09S,9.0,1.0,2.0,2.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    601.0,   0.6909,  34.6727,2.0,  34.6728,2.0,    213.6,2.0,    213.2,2.0,    99.60,2.0,    32.00,2.0,     2.20,2.0,    97.24,2.0,   -0.151,2.0,    0.000,2.0
215,  09AR20120105,  I09S,9.0,1.0,1.0,1.0,2.0,20120120.0,1311.0,-65.3832,112.905,  658,    643.9,   0.5146,  34.6748,2.0,  34.6749,2.0,    215.5,2.0,    216.2,2.0,   105.90,2.0,    32.02,2.0,     2.21,2.0,    97.22,2.0,   -0.188,2.0,    0.000,2.0
216,  09AR20120105,  I09S,10.0,1.0,24.0,24.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6295,  34.1284,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.89,2.0,    2.682,2.0,    0.000,2.0
217,  09AR20120105,  I09S,10.0,1.0,23.0,23.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6327,  34.1281,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.91,2.0,    2.645,2.0,    0.000,2.0
218,  09AR20120105,  I09S,10.0,1.0,22.0,22.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6360,  34.1277,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.12,2.0,    3.762,2.0,    0.000,2.0
219,  09AR20120105,  I09S,10.0,1.0,21.0,21.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6356,  34.1269,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.32,2.0,    3.233,2.0,    0.000,2.0
220,  09AR20120105,  I09S,10.0,1.0,20.0,20.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6355,  34.1264,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.49,2.0,    3.158,2.0,    0.000,2.0
221,  09AR20120105,  I09S,10.0,1.0,19.0,19.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6261,  34.1193,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.66,2.0,    3.866,2.0,    0.000,2.0
222,  09AR20120105,  I09S,10.0,1.0,18.0,18.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6270,  34.1169,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.48,2.0,    3.671,2.0,    0.000,2.0
223,  09AR20120105,  I09S,10.0,1.0,17.0,17.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6205,  34.1173,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.59,2.0,    3.973,2.0,    0.000,2.0
224,  09AR20120105,  I09S,10.0,1.0,16.0,16.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.5,  -1.6244,  34.1147,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.19,2.0,    3.809,2.0,    0.000,2.0
225,  09AR20120105,  I09S,10.0,1.0,15.0,15.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6200,  34.1145,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.08,2.0,    4.035,2.0,    0.000,2.0
226,  09AR20120105,  I09S,10.0,1.0,14.0,14.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6238,  34.1122,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.23,2.0,    5.453,2.0,    0.000,2.0
227,  09AR20120105,  I09S,10.0,1.0,13.0,13.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6182,  34.1152,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.15,2.0,    4.542,2.0,    0.000,2.0
228,  09AR20120105,  I09S,10.0,1.0,12.0,12.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6332,  34.1109,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    93.72,2.0,    3.807,2.0,    0.000,2.0
229,  09AR20120105,  I09S,10.0,1.0,11.0,11.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6478,  34.1073,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.84,2.0,    4.583,2.0,    0.000,2.0
230,  09AR20120105,  I09S,10.0,1.0,10.0,10.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.8,  -1.6693,  34.1050,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.22,2.0,    2.722,2.0,    0.000,2.0
231,  09AR20120105,  I09S,10.0,1.0,9.0,9.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6768,  34.1046,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.54,2.0,    2.456,2.0,    0.000,2.0
232,  09AR20120105,  I09S,10.0,1.0,8.0,8.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6833,  34.1040,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.29,2.0,    2.346,2.0,    0.000,2.0
233,  09AR20120105,  I09S,10.0,1.0,7.0,7.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6857,  34.1037,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.75,2.0,    1.859,2.0,    0.000,2.0
234,  09AR20120105,  I09S,10.0,1.0,6.0,6.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6830,  34.1039,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.10,2.0,    2.206,2.0,    0.000,2.0
235,  09AR20120105,  I09S,10.0,1.0,5.0,5.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6776,  34.1061,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.68,2.0,    2.251,2.0,    0.000,2.0
236,  09AR20120105,  I09S,10.0,1.0,4.0,4.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6469,  34.1179,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.14,2.0,    3.688,2.0,    0.000,2.0
237,  09AR20120105,  I09S,10.0,1.0,3.0,3.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6514,  34.1178,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.78,2.0,    3.452,2.0,    0.000,2.0
238,  09AR20120105,  I09S,10.0,1.0,2.0,2.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.6,  -1.6645,  34.1130,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.50,2.0,    2.746,2.0,    0.000,2.0
239,  09AR20120105,  I09S,10.0,1.0,1.0,1.0,2.0,20120120.0,1825.0,-65.1732,113.047, 1466,     34.7,  -1.6504,  34.1209,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.36,2.0,    3.338,2.0,    0.000,2.0
240,  09AR20120105,  I09S,11.0,1.0,24.0,24.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,      4.6,  -1.2717,  33.2991,2.0,  33.3158,2.0,    351.5,2.0,    354.2,2.0,    57.50,2.0,    24.41,2.0,     1.67,2.0,    93.01,2.0,    1.677,2.0,   10.020,2.0
241,  09AR20120105,  I09S,11.0,1.0,23.0,23.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     25.6,  -1.5586,  34.0345,2.0,-999.0000,9.0,    335.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    88.56,2.0,    6.095,2.0,    1.027,2.0
242,  09AR20120105,  I09S,11.0,1.0,22.0,22.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     25.7,  -1.5584,  34.0344,2.0,-999.0000,9.0,    335.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    88.61,2.0,    6.805,2.0,    1.032,2.0
243,  09AR20120105,  I09S,11.0,1.0,21.0,21.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     25.6,  -1.5525,  34.0312,2.0,  34.0113,2.0,    335.2,2.0,    341.5,2.0,    66.70,2.0,    26.02,2.0,     1.81,2.0,    89.12,2.0,    6.232,2.0,    1.053,2.0
244,  09AR20120105,  I09S,11.0,1.0,20.0,20.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     34.7,  -1.6081,  34.0941,2.0,  34.0927,2.0,    326.8,2.0,    326.7,2.0,    69.40,2.0,    27.60,2.0,     1.91,2.0,    89.59,2.0,    7.179,2.0,    0.257,2.0
245,  09AR20120105,  I09S,11.0,1.0,19.0,19.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     48.9,  -1.6729,  34.1436,2.0,  34.1403,2.0,    306.1,2.0,    306.4,2.0,    71.10,2.0,    29.61,2.0,     2.06,2.0,    94.17,2.0,    2.905,2.0,    0.000,2.0
246,  09AR20120105,  I09S,11.0,1.0,18.0,18.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     74.3,  -1.7588,  34.1943,2.0,  34.1954,2.0,    301.4,2.0,    300.4,2.0,    69.70,2.0,    30.32,2.0,     2.10,2.0,    96.72,2.0,    0.522,2.0,    0.000,2.0
247,  09AR20120105,  I09S,11.0,1.0,17.0,17.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,     89.0,  -1.7557,  34.2100,2.0,  34.2105,2.0,    301.8,2.0,    302.0,2.0,    68.70,2.0,    30.30,2.0,     2.09,2.0,    96.74,2.0,    0.161,2.0,    0.000,2.0
248,  09AR20120105,  I09S,11.0,1.0,16.0,16.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    149.9,  -1.7695,  34.2512,2.0,  34.2507,2.0,    302.2,2.0,    303.8,2.0,    66.30,2.0,    30.41,2.0,     2.09,2.0,    96.75,2.0,   -0.029,2.0,    0.000,2.0
249,  09AR20120105,  I09S,11.0,1.0,15.0,15.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    225.0,  -1.7873,  34.2843,2.0,  34.2838,2.0,    305.4,2.0,    306.3,2.0,    65.30,2.0,    30.62,2.0,     2.09,2.0,    96.86,2.0,   -0.145,2.0,    0.000,2.0
250,  09AR20120105,  I09S,11.0,1.0,14.0,14.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    299.8,  -1.7495,  34.3095,2.0,  34.3115,2.0,    305.7,2.0,    306.5,2.0,    64.30,2.0,    30.62,2.0,     2.08,2.0,    97.06,2.0,   -0.162,2.0,    0.000,2.0
251,  09AR20120105,  I09S,11.0,1.0,13.0,13.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    400.1,   0.0235,  34.5435,2.0,  34.5419,2.0,    240.8,2.0,    237.6,2.0,    81.60,2.0,    32.06,2.0,     2.21,2.0,    97.26,2.0,   -0.156,2.0,    0.000,2.0
252,  09AR20120105,  I09S,11.0,1.0,12.0,12.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    499.7,   0.7390,  34.6625,2.0,  34.6616,2.0,    212.5,2.0,    214.0,2.0,    92.50,2.0,    31.99,2.0,     2.19,2.0,    97.29,2.0,   -0.178,2.0,    0.000,2.0
253,  09AR20120105,  I09S,11.0,1.0,11.0,11.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    600.2,   0.6568,  34.6704,2.0,  34.6702,2.0,    215.4,2.0,    216.0,2.0,    97.50,2.0,    32.02,2.0,     2.20,2.0,    97.27,2.0,   -0.182,2.0,    0.000,2.0
254,  09AR20120105,  I09S,11.0,1.0,10.0,10.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    749.9,   0.6957,  34.6906,2.0,  34.6895,2.0,    211.6,2.0,    212.0,2.0,   106.80,2.0,    32.23,2.0,     2.21,2.0,    97.26,2.0,   -0.182,2.0,    0.000,2.0
255,  09AR20120105,  I09S,11.0,1.0,9.0,9.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,    849.2,   0.5552,  34.6853,2.0,  34.6850,2.0,    214.0,2.0,    213.8,2.0,   110.90,2.0,    32.35,2.0,     2.23,2.0,    97.23,2.0,   -0.179,2.0,    0.000,2.0
256,  09AR20120105,  I09S,11.0,1.0,8.0,8.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1000.3,   0.3810,  34.6778,2.0,  34.6773,2.0,    216.8,2.0,    216.9,2.0,   114.60,2.0,    32.53,2.0,     2.24,2.0,    97.20,2.0,   -0.178,2.0,    0.000,2.0
257,  09AR20120105,  I09S,11.0,1.0,7.0,7.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1000.2,   0.3810,  34.6777,2.0,-999.0000,9.0,    216.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.19,2.0,   -0.175,2.0,    0.000,2.0
258,  09AR20120105,  I09S,11.0,1.0,6.0,6.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1000.3,   0.3806,  34.6777,2.0,-999.0000,9.0,    216.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.20,2.0,   -0.179,2.0,    0.000,2.0
259,  09AR20120105,  I09S,11.0,1.0,5.0,5.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1000.4,   0.3784,  34.6777,2.0,-999.0000,9.0,    216.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.19,2.0,   -0.184,2.0,    0.000,2.0
260,  09AR20120105,  I09S,11.0,1.0,4.0,4.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1102.3,   0.2934,  34.6748,2.0,  34.6751,2.0,    218.4,2.0,    218.6,2.0,   116.60,2.0,    32.68,2.0,     2.25,2.0,    97.18,2.0,   -0.181,2.0,    0.000,2.0
261,  09AR20120105,  I09S,11.0,1.0,3.0,3.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1248.3,   0.1458,  34.6680,2.0,  34.6690,2.0,    222.1,2.0,    222.2,2.0,   117.60,2.0,    32.85,2.0,     2.27,2.0,    97.14,2.0,   -0.183,2.0,    0.000,2.0
262,  09AR20120105,  I09S,11.0,1.0,2.0,2.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1349.2,   0.0689,  34.6664,2.0,  34.6665,2.0,    224.4,2.0,    224.2,2.0,   118.20,2.0,    32.79,2.0,     2.26,2.0,    97.13,2.0,   -0.179,2.0,    0.000,2.0
263,  09AR20120105,  I09S,11.0,1.0,1.0,1.0,2.0,20120120.0,1927.0,-65.1752,113.061, 1459,   1472.0,  -0.1027,  34.6598,2.0,  34.6598,2.0,    229.1,2.0,    229.5,2.0,   117.30,2.0,    32.51,2.0,     2.25,2.0,    97.17,2.0,   -0.169,2.0,    0.000,2.0
264,  09AR20120105,  I09S,12.0,1.0,24.0,24.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,      5.1,  -0.7982,  33.4238,2.0,  33.4225,2.0,    356.1,2.0,    356.0,2.0,    56.50,2.0,    24.56,2.0,     1.62,2.0,    91.25,2.0,    0.956,2.0,   98.330,2.0
265,  09AR20120105,  I09S,12.0,1.0,23.0,23.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     30.8,  -0.8973,  33.6277,2.0,-999.0000,9.0,    344.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    92.84,2.0,    2.497,2.0,    6.352,2.0
266,  09AR20120105,  I09S,12.0,1.0,22.0,22.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     30.9,  -0.8414,  33.6112,2.0,-999.0000,9.0,    344.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    92.84,2.0,    2.551,2.0,    6.520,2.0
267,  09AR20120105,  I09S,12.0,1.0,21.0,21.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     30.9,  -0.9254,  33.6413,2.0,  33.6926,2.0,    344.2,2.0,    347.0,2.0,    59.20,2.0,    26.12,2.0,     1.78,2.0,    93.00,2.0,    2.568,2.0,    6.485,2.0
268,  09AR20120105,  I09S,12.0,1.0,20.0,20.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     50.0,  -1.5112,  34.0485,2.0,  34.0546,2.0,    325.8,2.0,    321.8,2.0,    63.90,2.0,    28.47,2.0,     1.96,2.0,    96.41,2.0,    1.636,2.0,    1.356,2.0
269,  09AR20120105,  I09S,12.0,1.0,19.0,19.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     69.7,  -1.6886,  34.1970,2.0,  34.1932,2.0,    314.2,2.0,    304.1,2.0,    67.00,2.0,    29.89,2.0,     2.07,2.0,    96.82,2.0,    0.754,2.0,    0.323,2.0
270,  09AR20120105,  I09S,12.0,1.0,18.0,18.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,     91.6,  -1.7207,  34.2277,2.0,  34.2256,2.0,    301.0,2.0,    298.6,2.0,    67.70,2.0,    30.34,2.0,     2.10,2.0,    96.88,2.0,    0.380,2.0,    0.042,2.0
271,  09AR20120105,  I09S,12.0,1.0,17.0,17.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,    131.5,  -1.7081,  34.2761,2.0,  34.2777,2.0,    289.3,2.0,    291.4,2.0,    67.10,2.0,    31.00,2.0,     2.14,2.0,    96.97,2.0,    0.049,2.0,    0.000,2.0
272,  09AR20120105,  I09S,12.0,1.0,16.0,16.0,2.0,20120120.0,2229.0,-65.0247,113.16, 1462,    200.3,  -1.1497,  34.3838,2.0,  34.3862,2.0,    277.4,2.0,    278.9,2.0,  -999.00,9.0,    31.31,2.0,     2.15,2.0,    97.12,2.0,   -0.136,2.0,    0.000,2.0
