,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,THETA
13,  06AQ20080210,   A12,103.0,1.0,14.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    302.8,   3.9710,  34.1370,2.0,    246.6,2.0,    15.53,2.0,    27.25,2.0,     0.02,2.0,     1.88,2.0, -999.000,9.0, -999.000,9.0,   2164.6,2.0,   2284.4,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.9500
14,  06AQ20080210,   A12,103.0,1.0,15.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    253.6,   4.2300,  34.1250,2.0,    233.6,2.0,    12.69,2.0,    26.04,2.0,     0.02,2.0,     1.81,2.0, -999.000,9.0, -999.000,9.0,   2157.0,2.0,   2281.4,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.2120
15,  06AQ20080210,   A12,103.0,1.0,16.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    203.1,   4.4270,  34.0780,2.0,    260.6,2.0,     9.08,2.0,    23.96,2.0,     0.02,2.0,     1.67,2.0, -999.000,9.0, -999.000,9.0,   2141.8,2.0,   2278.9,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4123
16,  06AQ20080210,   A12,103.0,1.0,17.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    204.9,   4.4310,  34.0780,2.0,    264.2,2.0,     8.98,2.0,    23.93,2.0,     0.02,2.0,     1.66,2.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4162
17,  06AQ20080210,   A12,103.0,1.0,18.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    152.2,   4.8320,  33.9840,2.0,    257.0,2.0,     6.84,2.0,    22.50,2.0,     0.05,2.0,     1.57,2.0, -999.000,9.0, -999.000,9.0,   2129.9,2.0,   2274.7,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.8206
18,  06AQ20080210,   A12,103.0,1.0,19.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    100.8,   4.9340,  33.8690,2.0,    267.0,2.0,     5.66,2.0,    21.02,2.0,     0.51,2.0,     1.61,2.0, -999.000,9.0, -999.000,9.0,   2129.4,2.0,   2274.5,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.9264
19,  06AQ20080210,   A12,103.0,1.0,20.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,     74.0,   6.8440,  33.8070,2.0,    270.4,2.0,     1.95,2.0,    18.54,2.0,     0.22,2.0,     1.41,2.0, -999.000,9.0, -999.000,9.0,   2110.4,2.0,   2271.5,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.8374
20,  06AQ20080210,   A12,103.0,1.0,21.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,     50.7,   7.8260,  33.7460,2.0,    269.4,2.0,     0.88,2.0,    17.10,2.0,     0.16,2.0,     1.23,2.0, -999.000,9.0, -999.000,9.0,   2091.9,2.0,   2272.7,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   7.8211
21,  06AQ20080210,   A12,103.0,1.0,22.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,     45.6,   7.8280,  33.7460,2.0,    285.1,2.0,     0.88,2.0,    17.00,2.0,     0.16,2.0,     1.22,2.0, -999.000,9.0, -999.000,9.0,   2090.4,2.0,   2268.0,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   7.8236
22,  06AQ20080210,   A12,103.0,1.0,23.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,     26.1,   7.8290,  33.7460,2.0,    255.1,2.0,     0.88,2.0,    17.06,2.0,     0.16,2.0,     1.22,2.0, -999.000,9.0, -999.000,9.0,   2091.6,2.0,   2270.0,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   7.8265
23,  06AQ20080210,   A12,103.0,1.0,24.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,      8.4,   7.8420,  33.7460,2.0,    255.7,2.0,     0.88,2.0,    16.95,2.0,     0.16,2.0,     1.21,2.0, -999.000,9.0, -999.000,9.0,   2091.6,2.0,   2269.5,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   7.8412
24,  06AQ20080210,   A12,104.0,1.0,1.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    204.5,   3.6010,  33.9610,2.0,    296.8,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.5876
25,  06AQ20080210,   A12,104.0,1.0,4.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    201.7,   3.5940,  33.9540,2.0,    298.7,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.5808
26,  06AQ20080210,   A12,104.0,1.0,5.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    201.7,   3.5950,  33.9550,2.0,    298.7,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.5818
27,  06AQ20080210,   A12,104.0,1.0,6.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    201.4,   3.5920,  33.9560,2.0,    299.0,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.5788
28,  06AQ20080210,   A12,104.0,1.0,7.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    202.3,   3.5920,  33.9560,2.0,    298.2,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.5788
29,  06AQ20080210,   A12,104.0,1.0,8.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    152.0,   3.9690,  33.8540,2.0,    307.5,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.9587
30,  06AQ20080210,   A12,104.0,1.0,9.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    101.5,   4.4620,  33.8060,2.0,    309.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4548
31,  06AQ20080210,   A12,104.0,1.0,10.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    100.9,   4.4400,  33.8080,2.0,    309.2,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4328
32,  06AQ20080210,   A12,104.0,1.0,11.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,    101.5,   4.4420,  33.8080,2.0,    309.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4348
33,  06AQ20080210,   A12,104.0,1.0,12.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     99.7,   4.4360,  33.8070,2.0,    309.8,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4289
34,  06AQ20080210,   A12,104.0,1.0,13.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     99.4,   4.4360,  33.8070,2.0,    310.0,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4289
35,  06AQ20080210,   A12,104.0,1.0,14.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     75.2,   6.4940,  33.7250,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4875
36,  06AQ20080210,   A12,104.0,1.0,15.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     51.2,   6.4920,  33.7270,2.0,    299.5,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4876
37,  06AQ20080210,   A12,104.0,1.0,16.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     50.9,   6.4930,  33.7270,2.0,    299.5,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4886
38,  06AQ20080210,   A12,104.0,1.0,17.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     52.1,   6.4950,  33.7260,2.0,    299.4,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4905
39,  06AQ20080210,   A12,104.0,1.0,18.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     51.8,   6.4950,  33.7270,2.0,    299.4,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4905
40,  06AQ20080210,   A12,104.0,1.0,19.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     24.7,   6.4900,  33.7270,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4879
41,  06AQ20080210,   A12,104.0,1.0,20.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     24.0,   6.4870,  33.7270,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4849
42,  06AQ20080210,   A12,104.0,1.0,21.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     24.1,   6.4870,  33.7270,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4849
43,  06AQ20080210,   A12,104.0,1.0,22.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     23.7,   6.4880,  33.7270,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4859
44,  06AQ20080210,   A12,104.0,1.0,23.0,2.0,20080216.0,2232.0,-47.6565,4.2738, 4547,     24.0,   6.4860,  33.7270,2.0,    299.3,2.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   6.4839
45,  06AQ20080210,   A12,104.0,2.0,1.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   4480.2,   0.7590,  34.6940,2.0,    208.2,2.0,   120.45,2.0,    32.49,2.0,     0.02,2.0,     2.24,2.0, -999.000,9.0, -999.000,9.0,   2260.3,2.0,   2372.4,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   0.4092
46,  06AQ20080210,   A12,104.0,2.0,2.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   4279.6,   0.7570,  34.6960,2.0,    210.3,2.0,   119.27,2.0,    32.35,2.0,     0.02,2.0,     2.24,2.0, -999.000,9.0, -999.000,9.0,   2260.3,2.0,   2368.7,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   0.4293
47,  06AQ20080210,   A12,104.0,2.0,3.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   4078.8,   0.7680,  34.6990,2.0,    210.4,2.0,   117.52,2.0,    32.11,2.0,     0.02,2.0,     2.22,2.0, -999.000,9.0, -999.000,9.0,   2261.4,2.0,   2368.8,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   0.4614
48,  06AQ20080210,   A12,104.0,2.0,4.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   3561.7,   0.9150,  34.7130,2.0,    210.1,2.0,   110.10,2.0,    31.55,2.0,     0.02,2.0,     2.18,2.0, -999.000,9.0, -999.000,9.0,   2258.3,2.0,   2374.4,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   0.6573
49,  06AQ20080210,   A12,104.0,2.0,5.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   3048.7,   1.2090,  34.7310,2.0,    207.2,2.0,   101.12,2.0,    30.96,2.0,     0.02,2.0,     2.13,2.0, -999.000,9.0, -999.000,9.0,   2253.8,3.0,   2364.0,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   0.9937
