,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
19,  09AR20030103,   UNK,2.0,1.0,6.0,6.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    800.5,   1.5616,  34.7335,2.0,  34.7349,2.0,   -999.0,5.0,  1.5177,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
20,  09AR20030103,   UNK,2.0,1.0,3.0,3.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    899.7,   1.4992,  34.7371,2.0,  34.7384,2.0,   -999.0,5.0,  1.4495,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
21,  09AR20030103,   UNK,2.0,1.0,4.0,4.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    899.8,   1.4989,  34.7372,2.0,  34.7394,2.0,   -999.0,5.0,  1.4492,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
22,  09AR20030103,   UNK,2.0,1.0,1.0,1.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,   1006.1,   1.4016,  34.7361,2.0,  34.7365,2.0,   -999.0,5.0,  1.3459,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
23,  09AR20030103,   UNK,2.0,1.0,2.0,2.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,   1006.8,   1.4006,  34.7361,2.0,  34.7382,2.0,   -999.0,5.0,  1.3448,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
24,  09AR20030103,   UNK,3.0,1.0,24.0,24.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    101.2,   0.1642,  34.2565,2.0,-999.0000,9.0,   -999.0,5.0,  0.1605,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
25,  09AR20030103,   UNK,3.0,1.0,23.0,23.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    101.2,   0.1544,  34.2563,2.0,  34.2534,2.0,   -999.0,5.0,  0.1507,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
26,  09AR20030103,   UNK,3.0,1.0,21.0,21.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    249.1,   1.9448,  34.6232,2.0,-999.0000,9.0,   -999.0,5.0,  1.9319,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
27,  09AR20030103,   UNK,3.0,1.0,20.0,20.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    249.1,   1.9445,  34.6230,2.0,-999.0000,9.0,   -999.0,5.0,  1.9316,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
28,  09AR20030103,   UNK,3.0,1.0,22.0,22.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    249.2,   1.9448,  34.6231,2.0,  34.6223,2.0,   -999.0,5.0,  1.9319,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
29,  09AR20030103,   UNK,3.0,1.0,19.0,19.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    451.0,   1.8582,  34.6948,2.0,  34.6950,2.0,   -999.0,5.0,  1.8340,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
30,  09AR20030103,   UNK,3.0,1.0,18.0,18.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    798.2,   1.6538,  34.7356,2.0,  34.7365,2.0,   -999.0,5.0,  1.6095,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
31,  09AR20030103,   UNK,3.0,1.0,17.0,17.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    798.2,   1.6539,  34.7355,2.0,-999.0000,9.0,   -999.0,5.0,  1.6096,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
32,  09AR20030103,   UNK,3.0,1.0,16.0,16.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,    798.3,   1.6544,  34.7355,2.0,-999.0000,9.0,   -999.0,5.0,  1.6101,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
33,  09AR20030103,   UNK,3.0,1.0,15.0,15.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   1093.0,   1.4202,  34.7360,2.0,  34.7372,2.0,   -999.0,5.0,  1.3587,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
34,  09AR20030103,   UNK,3.0,1.0,12.0,12.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   1457.1,   1.1126,  34.7261,2.0,-999.0000,9.0,   -999.0,5.0,  1.0296,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
35,  09AR20030103,   UNK,3.0,1.0,13.0,13.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   1457.4,   1.1122,  34.7260,2.0,-999.0000,9.0,   -999.0,5.0,  1.0292,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
36,  09AR20030103,   UNK,3.0,1.0,14.0,14.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   1457.6,   1.1121,  34.7259,2.0,  34.7262,2.0,   -999.0,5.0,  1.0291,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
37,  09AR20030103,   UNK,3.0,1.0,11.0,11.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   1796.4,   0.8527,  34.7129,2.0,  34.7127,2.0,   -999.0,5.0,  0.7489,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
38,  09AR20030103,   UNK,3.0,1.0,8.0,8.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2101.4,   0.6402,  34.7019,2.0,-999.0000,9.0,   -999.0,5.0,  0.5169,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
39,  09AR20030103,   UNK,3.0,1.0,10.0,10.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2101.5,   0.6390,  34.7019,2.0,  34.7021,2.0,   -999.0,5.0,  0.5157,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
40,  09AR20030103,   UNK,3.0,1.0,9.0,9.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2101.5,   0.6395,  34.7019,2.0,-999.0000,9.0,   -999.0,5.0,  0.5162,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
41,  09AR20030103,   UNK,3.0,1.0,7.0,7.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2500.6,   0.3867,  34.6896,2.0,  34.6898,2.0,   -999.0,5.0,  0.2367,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
42,  09AR20030103,   UNK,3.0,1.0,4.0,4.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2999.0,   0.1781,  34.6818,2.0,-999.0000,9.0,   -999.0,5.0, -0.0092,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
43,  09AR20030103,   UNK,3.0,1.0,6.0,6.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2999.1,   0.1777,  34.6818,2.0,  34.6809,2.0,   -999.0,5.0, -0.0096,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
44,  09AR20030103,   UNK,3.0,1.0,5.0,5.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   2999.1,   0.1779,  34.6817,2.0,-999.0000,9.0,   -999.0,5.0, -0.0094,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
45,  09AR20030103,   UNK,3.0,1.0,3.0,3.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   3498.4,   0.0484,  34.6769,2.0,  34.6770,2.0,   -999.0,5.0, -0.1807,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
46,  09AR20030103,   UNK,3.0,1.0,1.0,1.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   4305.2,  -0.1009,  34.6655,2.0,-999.0000,9.0,   -999.0,5.0, -0.4051,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
47,  09AR20030103,   UNK,3.0,1.0,2.0,2.0,2.0,20030111.0,1807.0,-61.2608,103.3313,4280.0,-999.0,   4305.8,  -0.1007,  34.6655,2.0,  34.6652,2.0,   -999.0,5.0, -0.4050,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
48,  09AR20030103,   UNK,4.0,1.0,24.0,24.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,      6.0,  -0.0970,  33.3209,2.0,  33.3560,4.0,   -999.0,5.0, -0.0972,    364.2,2.0,    42.30,2.0,    23.31,2.0,     1.24,2.0
49,  09AR20030103,   UNK,4.0,1.0,23.0,23.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     15.0,  -0.3403,  33.5048,2.0,  33.5462,4.0,   -999.0,5.0, -0.3408,    373.8,2.0,    40.20,2.0,    21.96,2.0,     1.15,2.0
50,  09AR20030103,   UNK,4.0,1.0,22.0,22.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     20.5,   0.1418,  33.6936,2.0,  33.8126,4.0,   -999.0,5.0,  0.1411,    368.6,2.0,    41.50,2.0,    21.76,2.0,     1.19,2.0
51,  09AR20030103,   UNK,4.0,1.0,21.0,21.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     31.6,  -0.4940,  33.9928,2.0,  34.0260,4.0,   -999.0,5.0, -0.4951,    357.0,2.0,    48.20,2.0,    23.37,2.0,     1.47,2.0
52,  09AR20030103,   UNK,4.0,1.0,20.0,20.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     45.9,  -0.9750,  34.1403,2.0,  34.1291,2.0,   -999.0,5.0, -0.9764,    349.4,2.0,    53.80,2.0,    24.08,2.0,     1.68,2.0
53,  09AR20030103,   UNK,4.0,1.0,19.0,19.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     61.7,  -1.1411,  34.1820,2.0,  34.1837,2.0,   -999.0,5.0, -1.1429,    342.1,2.0,    55.10,2.0,    25.22,2.0,     1.76,2.0
54,  09AR20030103,   UNK,4.0,1.0,18.0,18.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     76.7,  -1.1964,  34.2580,2.0,  34.2777,4.0,   -999.0,5.0, -1.1986,    333.9,2.0,    58.60,2.0,    25.92,2.0,     1.82,2.0
55,  09AR20030103,   UNK,4.0,1.0,17.0,17.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,     91.0,  -1.3114,  34.3157,2.0,  34.3174,2.0,   -999.0,5.0, -1.3139,    324.1,2.0,    60.40,2.0,    26.08,2.0,     1.88,2.0
