,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
20,  29HE20020304,   A17,1.0,1.0,21.0,20020306.0,-48.351,-53.668, 5990,     75.0,   9.0320,  34.4740,2.0,    252.1,2.0,     4.03,2.0,    17.01,2.0,     0.17,2.0,     1.31,2.0,   2288.3,2.0,7.7874,    25.00,2.0,   9.0239
21,  29HE20020304,   A17,1.0,1.0,22.0,20020306.0,-48.351,-53.668, 5990,     47.0,  15.0660,  34.5650,2.0,    254.6,2.0,     5.01,2.0,    16.77,2.0,     0.14,2.0,     1.25,2.0,   2304.3,2.0,7.7934,    25.00,2.0,  15.0589
22,  29HE20020304,   A17,1.0,1.0,23.0,20020306.0,-48.351,-53.668, 5990,     25.0,  15.0940,  34.5650,2.0,    248.4,2.0,     0.73,2.0,     2.45,2.0,     0.00,2.0,     0.31,2.0,   2304.3,2.0,7.9824,    25.00,2.0,  15.0902
23,  29HE20020304,   A17,1.0,1.0,24.0,20020306.0,-48.351,-53.668, 5990,      8.0,  15.0900,  34.5540,2.0,    248.4,2.0,     0.76,2.0,     2.37,2.0,     0.00,2.0,     0.30,2.0,   2303.6,2.0,7.9894,    25.00,2.0,  15.0888
24,  29HE20020304,   A17,2.0,2.0,1.0,20020307.0,-45.234,-49.501, 5545,   3009.0,   2.0570,  34.7980,2.0,    217.3,2.0,    78.57,2.0,    29.32,2.0,     0.01,2.0,     1.84,2.0,   2349.0,2.0,7.6493,    25.00,2.0,   1.8264
25,  29HE20020304,   A17,2.0,2.0,2.0,20020307.0,-45.234,-49.501, 5545,   2800.0,   2.3790,  34.8350,2.0,    224.0,2.0,    66.20,2.0,    29.42,2.0,     0.04,2.0,     1.64,2.0,   2336.7,2.0,7.6693,    25.00,2.0,   2.1621
26,  29HE20020304,   A17,2.0,2.0,3.0,20020307.0,-45.234,-49.501, 5545,   2600.0,   2.6400,  34.8580,2.0,    227.9,2.0,    59.35,2.0,    29.42,2.0,     0.03,2.0,     1.68,2.0,   2336.2,2.0,7.6803,    25.00,2.0,   2.4373
27,  29HE20020304,   A17,2.0,2.0,4.0,20020307.0,-45.234,-49.501, 5545,   2402.0,   2.7050,  34.8420,2.0,    221.0,2.0,    61.20,2.0,    28.45,2.0,     0.05,2.0,     1.74,2.0,   2334.3,2.0,7.6633,    25.00,2.0,   2.5202
28,  29HE20020304,   A17,2.0,2.0,5.0,20020307.0,-45.234,-49.501, 5545,   2201.0,   2.6470,  34.7990,2.0,    206.2,2.0,    67.80,2.0,    29.22,2.0,     0.05,2.0,     1.86,2.0,   2339.0,2.0,7.6383,    25.00,2.0,   2.4821
29,  29HE20020304,   A17,2.0,2.0,6.0,20020307.0,-45.234,-49.501, 5545,   2000.0,   2.8720,  34.7950,2.0,    204.7,2.0,    62.74,2.0,    29.54,2.0,     0.07,2.0,     1.82,2.0,   2337.9,2.0,7.6393,    25.00,2.0,   2.7218
