,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CHLORA,CHLORA_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA
10,  33RO20071215,   P18,128.0,1.0,26.0,12030.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    266.2,   6.7006,  34.3011,  34.2998,2.0,    259.6,2.0,    259.2,2.0,     6.20,2.0,    21.50,2.0,     0.01,2.0,     1.50,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2139.9,2.0,   2274.3,2.0,   -999.0,9.0,     -999,7.7274,2.0,    25.00,     45.0,2.0,    23.14,2.0,     0.00,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,   6.6764
11,  33RO20071215,   P18,128.0,1.0,25.0,12024.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    316.9,   6.6000,  34.3130,  34.3125,2.0,    260.0,2.0,    259.4,2.0,     6.80,2.0,    21.90,2.0,     0.01,2.0,     1.52,2.0,    4.163,2.0,    2.221,2.0,   1.2129,2.0, -999.000,9.0,   2140.0,2.0,   2280.4,2.0,    754.2,2.0,       20,7.7274,2.0,    25.00,     44.3,2.0,    23.15,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0661,2.0,   0.0393,2.0,   0.0162,2.0,   0.0109,2.0,   0.0054,2.0,   0.0005,3.0,  -0.0011,4.0,   0.0203,2.0,   0.0258,2.0,   6.5714
12,  33RO20071215,   P18,128.0,1.0,24.0,12019.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    366.0,   6.4828,  34.3137,  34.3119,2.0,    261.0,2.0,    260.4,2.0,     7.30,2.0,    22.10,2.0,     0.01,2.0,     1.54,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2140.2,2.0,   2281.7,2.0,   -999.0,9.0,     -999,7.731,2.0,    25.00,     44.3,2.0,    23.40,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0683,2.0,   0.0411,2.0,   0.0173,2.0,   0.0115,2.0,   0.0060,2.0,   0.0008,2.0,  -0.0010,4.0,   0.0197,2.0,   0.0248,2.0,   6.4499
13,  33RO20071215,   P18,128.0,1.0,23.0,12022.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    432.8,   6.3223,  34.3051,  34.3042,2.0,    261.2,2.0,    261.5,2.0,     7.80,2.0,    22.60,2.0,     0.00,2.0,     1.56,2.0,    4.085,2.0,    2.147,2.0,   1.1494,2.0, -999.000,9.0,   2141.3,2.0,   2283.3,2.0,    758.3,2.0,       20,7.7244,2.0,    25.00,     43.2,2.0,    24.13,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0636,2.0,   0.0371,2.0,   0.0150,2.0,   0.0099,2.0,   0.0047,2.0,   0.0002,4.0,  -0.0013,4.0,   0.0217,2.0,   0.0272,2.0,   6.2838
14,  33RO20071215,   P18,128.0,1.0,22.0,12015.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    533.0,   6.0621,  34.2883,  34.2852,2.0,    259.3,2.0,    259.5,2.0,     8.70,2.0,    23.30,2.0,     0.00,2.0,     1.61,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2143.7,2.0,   2281.6,2.0,    761.1,2.0,       20,7.7207,2.0,    25.00,     42.4,2.0,    24.40,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0704,2.0,   0.0428,2.0,   0.0191,2.0,   0.0132,2.0,   0.0073,2.0,   0.0018,2.0,  -0.0005,4.0,   0.0178,2.0,   0.0228,2.0,   6.0153
15,  33RO20071215,   P18,128.0,1.0,21.0,12020.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    632.9,   5.7764,  34.2720,  34.2706,2.0,    255.8,2.0,    256.5,2.0,    10.30,2.0,    24.40,2.0,     0.00,2.0,     1.69,2.0,    3.648,2.0,    1.873,2.0,   0.9573,2.0, -999.000,9.0,   2148.3,2.0,   2282.5,2.0,    778.9,2.0,       20,7.7158,2.0,    25.00,     41.8,2.0,    25.73,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0808,2.0,   0.0520,2.0,   0.0255,2.0,   0.0180,2.0,   0.0112,2.0,   0.0048,2.0,   0.0014,2.0,   0.0153,2.0,   0.0189,2.0,   5.7218
16,  33RO20071215,   P18,128.0,1.0,20.0,12055.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    729.5,   5.3698,  34.2561,  34.2561,2.0,    245.9,2.0,    244.5,2.0,    13.60,2.0,    26.20,2.0,     0.00,2.0,     1.80,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2157.4,2.0,   2283.6,2.0,    834.7,2.0,       20,7.6845,2.0,    25.00,     41.4,2.0,    27.42,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0724,2.0,   0.0440,2.0,   0.0190,2.0,   0.0124,2.0,   0.0067,2.0,   0.0013,2.0,  -0.0007,4.0,   0.0193,2.0,   0.0240,2.0,   5.3087
17,  33RO20071215,   P18,128.0,1.0,19.0,12018.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    833.1,   4.9486,  34.2631,  34.2626,2.0,    229.6,2.0,    229.2,2.0,    19.10,2.0,    28.30,2.0,     0.00,2.0,     1.95,2.0,    1.845,3.0,    0.921,3.0,   0.3619,3.0, -999.000,9.0,   2172.0,2.0,   2285.3,2.0,    903.5,2.0,       20,7.6739,2.0,    25.00,     41.4,2.0,    29.75,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0747,2.0,   0.0450,2.0,   0.0195,2.0,   0.0123,2.0,   0.0063,2.0,   0.0009,2.0,  -0.0011,4.0,   0.0196,2.0,   0.0244,2.0,   4.8808
18,  33RO20071215,   P18,128.0,1.0,18.0,12025.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    933.6,   4.5544,  34.2891,  34.2879,2.0,    214.1,2.0,    214.3,2.0,    25.60,2.0,    30.20,2.0,     0.00,2.0,     2.08,2.0,    2.668,3.0,    1.341,2.0,   0.5972,3.0, -999.000,9.0,   2185.2,2.0,   2289.2,2.0,   -999.0,9.0,     -999,7.6359,2.0,    25.00,     41.3,2.0,    31.84,2.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0874,2.0,   0.0553,2.0,   0.0264,2.0,   0.0179,2.0,   0.0106,2.0,   0.0034,2.0,   0.0004,3.0,   0.0164,2.0,   0.0202,2.0,   4.4806
19,  33RO20071215,   P18,128.0,1.0,17.0,12016.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,   1032.7,   4.0993,  34.3116,  34.3338,4.0,    203.6,2.0,    203.3,2.0,    33.10,2.0,    31.90,2.0,     0.00,2.0,     2.20,2.0,    1.267,6.0,    0.643,6.0,   0.1996,6.0, -999.000,9.0,   2200.1,2.0,   2298.5,2.0,   1021.4,2.0,       20,7.6235,2.0,    25.00,     40.7,3.0,    33.32,3.0,  -999.00,9.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0911,2.0,   0.0579,2.0,   0.0273,2.0,   0.0185,2.0,   0.0107,2.0,   0.0032,2.0,   0.0002,3.0,   0.0167,2.0,   0.0203,2.0,   4.0204
